"","animalID","sex","cohort","age_days","harvest_date","hatch_date","tissue","tissue_grind_date","RNA_extract_date","RNA_batch","RNA_extractor","RNAID","cDNA_batch","plate_well","sampleNames","lib","censored","censor_code","notes"
"J7_1","J_1B_2","M","1B",49,"11/8/21","9/20/21","Liver",NA,"3/21/22","Liver_1","IG","RNA683",1,"J7","J7","J7_1",NA,NA,NA
"J7_2","J_1B_7","F","1B",147,"2/14/22","9/20/21","Fat","4/12/23","4/19/23","Fat_3","EC","RNA559",2,"J7","J7","J7_2",NA,NA,NA
"J8_2","J04","M","2",162,"8/23/22","3/14/22","Eye",NA,NA,"Eye_1","MRW","636",2,"J8","J8","J8_2",NA,NA,NA
"J9_1","C04","F","2",134,"7/26/22","3/14/22","Kidney",NA,"3/4/23","Kidney_1","EC","R251",1,"J9","J9","J9_1",NA,NA,NA
"J9_2","C03","M","2",162,"8/23/22","3/14/22","SpinalCord",NA,"3/10/23","SpinalCord_1","EC","RNA416",2,"J9","J9","J9_2",NA,NA,NA
"K1_1","C04","F","2",134,"7/26/22","3/14/22","Gut",NA,"3/8/23","Gut_1","EC","RNA362",1,"K1","K1","K1_1",NA,NA,NA
"K1_2","P_1A_3","M","1A",152,"2/7/22","9/8/21","Bone","4/19/23","4/22/23","Bone_1","EC","RNA583",2,"K1","K1","K1_2",NA,NA,NA
"K10_1","P_1B_1","F","1B",77,"12/6/21","9/20/21","Kidney",NA,"3/4/23","Kidney_1","JC","R268",1,"K10","K10","K10_1",NA,NA,NA
"K10_2","P_1A_6","M","1A",133,"1/19/22","9/8/21","SpinalCord",NA,"3/13/23","SpinalCord_2","JC","RNA433",2,"K10","K10","K10_2",NA,NA,NA
"K11_1","D_14","F","2",52,"5/5/22","3/14/22","Kidney",NA,"3/4/23","Kidney_2","EC","R284",1,"K11","K11","K11_1",NA,NA,NA
"K11_2","J_1B_18","F","1B",133,"1/31/22","9/20/21","SpinalCord",NA,"3/13/23","SpinalCord_2","EC","RNA449",2,"K11","K11","K11_2",NA,NA,NA
"K12_2","F05","M","2",102,"6/24/22","3/14/22","Eye",NA,NA,"Eye_1","MRW","645",2,"K12","K12","K12_2",NA,NA,NA
"K13_1","C1","F","2",155,"8/16/22","3/14/22","Muscle",NA,"3/15/23","Muscle_1","EC","RNA472",1,"K13","K13","K13_1",NA,NA,NA
"K13_2","J9","F","2",155,"8/16/22","3/14/22","Heart",NA,"3/3/23","Heart_1","EC","R197",2,"K13","K13","K13_2",NA,NA,NA
"K14_1","I05","F","2",134,"7/26/22","3/14/22","Muscle",NA,"3/17/23","Muscle_2","EC","RNA488",1,"K14","K14","K14_1",NA,NA,NA
"K14_2","P_1B_1","F","1B",77,"12/6/21","9/20/21","Heart",NA,"3/3/23","Heart_1","JC","R213",2,"K14","K14","K14_2",NA,NA,NA
"K15_1","P_1A_1","F","1A",47,"10/25/21","9/8/21","Muscle",NA,"3/27/23","Muscle_3","EC","RNA504",1,"K15","K15","K15_1",NA,NA,NA
"K15_2","C04","F","2",134,"7/26/22","3/14/22","Heart",NA,"3/3/23","Heart_2","EC","R229",2,"K15","K15","K15_2",NA,NA,NA
"K16_2","C03","M","2",162,"8/23/22","3/14/22","Eye",NA,NA,"Eye_1","MRW","653",2,"K16","K16","K16_2",NA,NA,NA
"K17_1","A06","F","2",102,"6/24/22","3/14/22","Skin",NA,"2/8/23","Skin_1","EC","R87",1,"K17","K17","K17_1",NA,NA,NA
"K17_2","E02","F","2",78,"5/31/22","3/14/22","Spleen",NA,"3/6/23","Spleen_1","EC","RNA307",2,"K17","K17","K17_2",NA,NA,NA
"K18_1","D12","M","2",134,"7/26/22","3/14/22","Skin",NA,"2/8/23","Skin_2","IG","R103",1,"K18","K18","K18_1",NA,NA,NA
"K18_2","P_1B_10","M","1B",133,"1/31/22","9/20/21","Spleen",NA,"3/6/23","Spleen_1","JC","RNA323",2,"K18","K18","K18_2",NA,NA,NA
"K19_1","P_1B_2","M","1B",133,"1/31/22","9/20/21","Skin",NA,"2/8/23","Skin_2","EC","R119",1,"K19","K19","K19_1",NA,NA,NA
"K19_2","J_1B_2","M","1B",49,"11/8/21","9/20/21","Spleen",NA,"3/6/23","Spleen_2","EC","RNA339",2,"K19","K19","K19_2",NA,NA,NA
"K2_1","J_1A_13","M","1A",75,"11/22/21","9/8/21","Gut",NA,"3/8/23","Gut_1","JC","RNA378",1,"K2","K2","K2_1",NA,NA,NA
"K2_2","D_14","F","2",52,"5/5/22","3/14/22","Bone","4/26/23","4/22/23","Bone_2","EC","RNA600",2,"K2","K2","K2_2",NA,NA,NA
"K20_2","J_1A_1","M","1A",152,"2/7/22","9/8/21","Eye",NA,NA,"Eye_1","MRW","661",2,"K20","K20","K20_2",NA,NA,NA
"K21_1","I03","M","2",162,"8/23/22","3/14/22","Testis",NA,"2/10/23","Testis_1","EC","142",1,"K21","K21","K21_1",NA,NA,NA
"K21_2","J04","M","2",162,"8/23/22","3/14/22","Brain",NA,"1/31/23","Brain_1","IG","R33",2,"K21","K21","K21_2",NA,NA,NA
"K22_1","D05","M","2",162,"8/23/22","3/14/22","Testis",NA,"2/24/23","Testis_2","EC","158",1,"K22","K22","K22_1",NA,NA,NA
"K22_2","C04","F","2",134,"7/26/22","3/14/22","Brain",NA,"2/1/23","Brain_2","EC","R49",2,"K22","K22","K22_2",NA,NA,NA
"K23_1","P_1A_4","M","1A",133,"1/19/22","9/8/21","Testis",NA,"2/24/23","Testis_2","JC","174",1,"K23","K23","K23_1",NA,NA,NA
"K23_2","P_1A_6","M","1A",133,"1/19/22","9/8/21","Brain",NA,"2/1/23","Brain_2","IG","R65",2,"K23","K23","K23_2",NA,NA,NA
"K3_1","P_1B_9","F","1B",49,"11/8/21","9/20/21","Gut",NA,"3/9/23","Gut_2","EC","RNA394",1,"K3","K3","K3_1",NA,NA,NA
"K3_2","J_1B_11","M","1B",161,"2/28/22","9/20/21","Bone","4/28/23","4/29/23","Bone_3","EC","RNA616",2,"K3","K3","K3_2",NA,NA,NA
"K4_2",NA,"F",NA,103,"","","Eye",NA,NA,"Eye_1","MRW","629",2,"K4","K4","K4_2",NA,NA,NA
"K5_1","D12","M","2",134,"7/26/22","3/14/22","Liver",NA,"1/30/23","Liver_2","EC","R11",1,"K5","K5","K5_1",NA,NA,NA
"K5_2","D12","M","2",134,"7/26/22","3/14/22","Fat","4/11/23","4/16/23","Fat_1","EC","RNA527",2,"K5","K5","K5_2",NA,NA,NA
"K6_1","P_1A_12","F","1A",75,"11/22/21","9/8/21","Liver",NA,"3/21/22","Liver_1","EC","RNA668",1,"K6","K6","K6_1",NA,NA,NA
"K6_2","J9","F","2",155,"8/16/22","3/14/22","Fat","4/12/23","4/17/23","Fat_2","EC","RNA543",2,"K6","K6","K6_2",NA,NA,NA
"K7_1","P_1A_8","F","1A",75,"11/22/21","9/8/21","Liver",NA,"3/21/22","Liver_1","IG","RNA684",1,"K7","K7","K7_1",NA,NA,NA
"K7_2","J_1B_5","F","1B",49,"11/8/21","9/20/21","Fat","4/12/23","4/19/23","Fat_3","EC","RNA560",2,"K7","K7","K7_2",NA,NA,NA
"K8_2","J_1A_14_and_J_1A_13","M","1A",75,"11/22/21","9/8/21","Eye",NA,NA,"Eye_1","MRW","637",2,"K8","K8","K8_2",NA,NA,NA
"K9_1","H_02","M","2",52,"5/5/22","3/14/22","Kidney",NA,"3/4/23","Kidney_1","EC","R252",1,"K9","K9","K9_1",NA,NA,NA
"K9_2","I05","F","2",134,"7/26/22","3/14/22","SpinalCord",NA,"3/10/23","SpinalCord_1","EC","RNA417",2,"K9","K9","K9_2",NA,NA,NA
"L1_1","J_1B_11","M","1B",161,"2/28/22","9/20/21","Gut",NA,"3/8/23","Gut_1","EC","RNA363",1,"L1","L1","L1_1",NA,NA,NA
"L1_2","J_1B_20","M","1B",77,"12/6/21","9/20/21","Bone","4/19/23","4/22/23","Bone_1","EC","RNA584",2,"L1","L1","L1_2",NA,NA,NA
"L10_1","J_1A_24","F","1A",47,"10/25/21","9/8/21","Kidney",NA,"3/4/23","Kidney_1","JC","R269",1,"L10","L10","L10_1",NA,NA,NA
"L10_2","A17","M","2",78,"5/31/22","3/14/22","SpinalCord",NA,"3/13/23","SpinalCord_2","JC","RNA434",2,"L10","L10","L10_2",NA,NA,NA
"L11_1","P_1B_11","M","1B",147,"2/14/22","9/20/21","Kidney",NA,"3/4/23","Kidney_2","EC","R285",1,"L11","L11","L11_1",NA,NA,NA
"L11_2","J_1A_17","M","1A",47,"10/25/21","9/8/21","SpinalCord",NA,"3/13/23","SpinalCord_2","EC","RNA450",2,"L11","L11","L11_2",NA,NA,NA
"L12_2","J05","F","2",102,"6/24/22","3/14/22","Eye",NA,NA,"Eye_1","MRW","646",2,"L12","L12","L12_2",NA,NA,NA
"L13_1","J_1B_11","M","1B",161,"2/28/22","9/20/21","Muscle",NA,"3/15/23","Muscle_1","EC","RNA473",1,"L13","L13","L13_1",NA,NA,NA
"L13_2","A06","F","2",102,"6/24/22","3/14/22","Heart",NA,"3/3/23","Heart_1","EC","R198",2,"L13","L13","L13_2",NA,NA,NA
"L14_1","D_14","F","2",52,"5/5/22","3/14/22","Muscle",NA,"3/17/23","Muscle_2","EC","RNA489",1,"L14","L14","L14_1",NA,NA,NA
"L14_2","P_1B_10","M","1B",133,"1/31/22","9/20/21","Heart",NA,"3/3/23","Heart_1","JC","R214",2,"L14","L14","L14_2",NA,NA,NA
"L15_1","J_1A_14","M","1A",75,"11/22/21","9/8/21","Muscle",NA,"3/27/23","Muscle_3","EC","RNA505",1,"L15","L15","L15_1",NA,NA,NA
"L15_2","P_1A_3","M","1A",152,"2/7/22","9/8/21","Heart",NA,"3/3/23","Heart_2","EC","R230",2,"L15","L15","L15_2",NA,NA,NA
"L16_2","P_1B_11","M","1B",147,"2/14/22","9/20/21","Eye",NA,NA,"Eye_1","MRW","654",2,"L16","L16","L16_2",NA,NA,NA
"L17_1","A01","M","2",78,"5/31/22","3/14/22","Skin",NA,"2/8/23","Skin_1","EC","R88",1,"L17","L17","L17_1",NA,NA,NA
"L17_2","P_1A_6","M","1A",133,"1/19/22","9/8/21","Spleen",NA,"3/6/23","Spleen_1","EC","RNA308",2,"L17","L17","L17_2",NA,NA,NA
"L18_1","J05","F","2",102,"6/24/22","3/14/22","Skin",NA,"2/8/23","Skin_2","IG","R104",1,"L18","L18","L18_1",NA,NA,NA
"L18_2","D_06","F","2",52,"5/5/22","3/14/22","Spleen",NA,"3/6/23","Spleen_1","JC","RNA324",2,"L18","L18","L18_2",NA,NA,NA
"L19_1","J_1B_5","F","1B",49,"11/8/21","9/20/21","Skin",NA,"2/8/23","Skin_2","EC","R120",1,"L19","L19","L19_1",NA,NA,NA
"L19_2","J_1B_20","M","1B",77,"12/6/21","9/20/21","Spleen",NA,"3/6/23","Spleen_2","EC","RNA340",2,"L19","L19","L19_2",NA,NA,NA
"L2_1","C1","F","2",155,"8/16/22","3/14/22","Gut",NA,"3/8/23","Gut_1","JC","RNA379",1,"L2","L2","L2_1",NA,NA,NA
"L2_2","J04","M","2",162,"8/23/22","3/14/22","Bone","4/26/23","4/22/23","Bone_2","EC","RNA601",2,"L2","L2","L2_2",NA,NA,NA
"L20_2","D05","M","2",162,"8/23/22","3/14/22","Eye",NA,NA,"Eye_1","MRW","662",2,"L20","L20","L20_2",NA,NA,NA
"L21_2","A06","F","2",102,"6/24/22","3/14/22","Brain",NA,"1/31/23","Brain_1","IG","R34",2,"L21","L21","L21_2",NA,NA,NA
"L22_1","A17","M","2",78,"5/31/22","3/14/22","Testis",NA,"2/24/23","Testis_2","EC","159",1,"L22","L22","L22_1",NA,NA,NA
"L22_2","C1","F","2",155,"8/16/22","3/14/22","Brain",NA,"2/1/23","Brain_2","EC","R50",2,"L22","L22","L22_2",NA,NA,NA
"L23_1","J_1B_11","M","1B",161,"2/28/22","9/20/21","Testis",NA,"2/24/23","Testis_2","JC","175",1,"L23","L23","L23_1",NA,NA,NA
"L23_2","J_1A_13","M","1A",75,"11/22/21","9/8/21","Brain",NA,"2/1/23","Brain_2","IG","R66",2,"L23","L23","L23_2",NA,NA,NA
"L3_1","J_1B_20","M","1B",77,"12/6/21","9/20/21","Gut",NA,"3/9/23","Gut_2","EC","RNA395",1,"L3","L3","L3_1",NA,NA,NA
"L3_2","J_1B_4","M","1B",161,"2/28/22","9/20/21","Bone","4/28/23","4/29/23","Bone_3","EC","RNA617",2,"L3","L3","L3_2",NA,NA,NA
"L4_2","A06","F","2",102,"6/24/22","3/14/22","Eye",NA,NA,"Eye_1","MRW","630",2,"L4","L4","L4_2",NA,NA,NA
"L5_1","C1","F","2",155,"8/16/22","3/14/22","Liver",NA,"1/30/23","Liver_2","IG","R12",1,"L5","L5","L5_1",NA,NA,NA
"L5_2","J_1A_14","M","1A",75,"11/22/21","9/8/21","Fat","4/12/23","4/16/23","Fat_1","EC","RNA528",2,"L5","L5","L5_2",NA,NA,NA
"L6_1","J_1A_13","M","1A",75,"11/22/21","9/8/21","Liver",NA,"3/21/22","Liver_1","EC","RNA669",1,"L6","L6","L6_1",NA,NA,NA
"L6_2","D_14","F","2",52,"5/5/22","3/14/22","Fat","4/12/23","4/17/23","Fat_2","EC","RNA544",2,"L6","L6","L6_2",NA,NA,NA
"L7_1","J_1A_14","M","1A",75,"11/22/21","9/8/21","Liver",NA,"3/21/22","Liver_1","IG","RNA685",1,"L7","L7","L7_1",NA,NA,NA
"L7_2","J_1B_4","M","1B",161,"2/28/22","9/20/21","Fat","4/12/23","4/19/23","Fat_3","EC","RNA561",2,"L7","L7","L7_2",NA,NA,NA
"L8_2","P_1A_3","M","1A",152,"2/7/22","9/8/21","Eye",NA,NA,"Eye_1","MRW","638",2,"L8","L8","L8_2",NA,NA,NA
"L9_1","A17","M","2",78,"5/31/22","3/14/22","Kidney",NA,"3/4/23","Kidney_1","EC","R253",1,"L9","L9","L9_1",NA,NA,NA
"L9_2","J_1B_20","M","1B",77,"12/6/21","9/20/21","SpinalCord",NA,"3/10/23","SpinalCord_1","EC","RNA418",2,"L9","L9","L9_2",NA,NA,NA
"M1_1","P_1A_3","M","1A",152,"2/7/22","9/8/21","Gut",NA,"3/8/23","Gut_1","EC","RNA364",1,"M1","M1","M1_1",NA,NA,NA
"M1_2","P_1B_11","M","1B",147,"2/14/22","9/20/21","Bone","4/19/23","4/22/23","Bone_1","EC","RNA585",2,"M1","M1","M1_2",NA,NA,NA
"M10_1","P_1A_6","M","1A",133,"1/19/22","9/8/21","Kidney",NA,"3/4/23","Kidney_2","JC","R270",1,"M10","M10","M10_1",NA,NA,NA
"M10_2","J05","F","2",102,"6/24/22","3/14/22","SpinalCord",NA,"3/13/23","SpinalCord_2","JC","RNA435",2,"M10","M10","M10_2",NA,NA,NA
"M11_1","J_1B_12","M","1B",49,"11/8/21","9/20/21","Kidney",NA,"3/4/23","Kidney_2","EC","R286",1,"M11","M11","M11_1",NA,NA,NA
"M11_2","P_1A_1","F","1A",47,"10/25/21","9/8/21","SpinalCord",NA,"3/13/23","SpinalCord_2","EC","RNA451",2,"M11","M11","M11_2",NA,NA,NA
"M12_2","J_1B_13_and_J_1B_20","M","1B",77,"12/6/21","9/20/21","Eye",NA,NA,"Eye_1","MRW","647",2,"M12","M12","M12_2",NA,NA,NA
"M13_1","J_1A_17","M","1A",47,"10/25/21","9/8/21","Muscle",NA,"3/15/23","Muscle_1","EC","RNA474",1,"M13","M13","M13_1",NA,NA,NA
"M13_2","F05","M","2",102,"6/24/22","3/14/22","Heart",NA,"3/3/23","Heart_1","EC","R199",2,"M13","M13","M13_2",NA,NA,NA
"M14_1","F05","M","2",102,"6/24/22","3/14/22","Muscle",NA,"3/17/23","Muscle_2","EC","RNA490",1,"M14","M14","M14_1",NA,NA,NA
"M14_2","J_1B_6","F","1B",133,"1/31/22","9/20/21","Heart",NA,"3/3/23","Heart_1","JC","R215",2,"M14","M14","M14_2",NA,NA,NA
"M15_1","J_1B_4","M","1B",161,"2/28/22","9/20/21","Muscle",NA,"3/27/23","Muscle_3","EC","RNA506",1,"M15","M15","M15_1",NA,NA,NA
"M15_2","J_1B_4","M","1B",161,"2/28/22","9/20/21","Heart",NA,"3/3/23","Heart_2","EC","R231",2,"M15","M15","M15_2",NA,NA,NA
"M16_2",NA,"F",NA,103,"","","Eye",NA,NA,"Eye_1","MRW","655",2,"M16","M16","M16_2",NA,NA,NA
"M17_1","P_1A_4","M","1A",133,"1/19/22","9/8/21","Skin",NA,"2/8/23","Skin_1","IG","R89",1,"M17","M17","M17_1",NA,NA,NA
"M17_2","P_1A_10","M","1A",103,"12/20/21","9/8/21","Spleen",NA,"3/6/23","Spleen_1","EC","RNA309",2,"M17","M17","M17_2",NA,NA,NA
"M18_1","J9","F","2",155,"8/16/22","3/14/22","Skin",NA,"2/8/23","Skin_2","IG","R105",1,"M18","M18","M18_1",NA,NA,NA
"M18_2","D05","M","2",162,"8/23/22","3/14/22","Spleen",NA,"3/6/23","Spleen_1","JC","RNA325",2,"M18","M18","M18_2",NA,NA,NA
"M19_1","J_1B_13","M","1B",77,"12/6/21","9/20/21","Skin",NA,"2/8/23","Skin_2","EC","R121",1,"M19","M19","M19_1",NA,NA,NA
"M19_2","P_1A_1","F","1A",47,"10/25/21","9/8/21","Spleen",NA,"3/6/23","Spleen_2","EC","RNA341",2,"M19","M19","M19_2",NA,NA,NA
"M2_1","E02","F","2",78,"5/31/22","3/14/22","Gut",NA,"3/8/23","Gut_1","JC","RNA380",1,"M2","M2","M2_1",NA,NA,NA
"M2_2","D05","M","2",162,"8/23/22","3/14/22","Bone","4/26/23","4/22/23","Bone_2","EC","RNA602",2,"M2","M2","M2_2",NA,NA,NA
"M20_2","I06","F","2",78,"5/31/22","3/14/22","Eye",NA,NA,"Eye_1","MRW","663",2,"M20","M20","M20_2",NA,NA,NA
"M21_1","P_1B_9","F","1B",49,"11/8/21","9/20/21","Ovary",NA,"2/10/23","Ovary_1","IG","148",1,"M21","M21","M21_1",NA,NA,NA
"M21_2","P_1A_12","F","1A",75,"11/22/21","9/8/21","Brain",NA,"1/31/23","Brain_1","EC","R35",2,"M21","M21","M21_2",NA,NA,NA
"M22_1","A06","F","2",102,"6/24/22","3/14/22","Ovary",NA,"2/24/23","Ovary_2","EC","160",1,"M22","M22","M22_1",NA,NA,NA
"M22_2","E_01","M","2",52,"5/5/22","3/14/22","Brain",NA,"2/1/23","Brain_2","EC","R51",2,"M22","M22","M22_2",NA,NA,NA
"M23_1","J_1B_2","M","1B",49,"11/8/21","9/20/21","Testis",NA,"2/24/23","Testis_2","JC","176",1,"M23","M23","M23_1",NA,NA,NA
"M23_2","P_1B_10","M","1B",133,"1/31/22","9/20/21","Brain",NA,"2/1/23","Brain_2","IG","R67",2,"M23","M23","M23_2",NA,NA,NA
"M3_1","P_1B_10","M","1B",133,"1/31/22","9/20/21","Gut",NA,"3/9/23","Gut_2","EC","RNA396",1,"M3","M3","M3_1",NA,NA,NA
"M3_2","P_1A_12","F","1A",75,"11/22/21","9/8/21","Bone","4/28/23","4/29/23","Bone_3","EC","RNA618",2,"M3","M3","M3_2",NA,NA,NA
"M4_2","P_1B_1_and_P_1B_3","F","1B",77,"12/6/21","9/20/21","Eye",NA,NA,"Eye_1","MRW","631",2,"M4","M4","M4_2",NA,NA,NA
"M5_1","J9","F","2",155,"8/16/22","3/14/22","Liver",NA,"1/30/23","Liver_2","IG","R13",1,"M5","M5","M5_1",NA,NA,NA
"M5_2","P_1B_3","F","1B",77,"12/6/21","9/20/21","Fat","4/12/23","4/16/23","Fat_1","EC","RNA529",2,"M5","M5","M5_2",NA,NA,NA
"M6_1","P_1B_1","F","1B",77,"12/6/21","9/20/21","Liver",NA,"3/21/22","Liver_1","EC","RNA670",1,"M6","M6","M6_1",NA,NA,NA
"M6_2","E02","F","2",78,"5/31/22","3/14/22","Fat","4/12/23","4/17/23","Fat_2","EC","RNA545",2,"M6","M6","M6_2",NA,NA,NA
"M7_1","P_1B_3","F","1B",77,"12/6/21","9/20/21","Liver",NA,"3/21/22","Liver_1","IG","RNA686",1,"M7","M7","M7_1",NA,NA,NA
"M7_2","P_1A_8","F","1A",75,"11/22/21","9/8/21","Fat","4/12/23","4/19/23","Fat_3","EC","RNA562",2,"M7","M7","M7_2",NA,NA,NA
"M8_2","J_1B_12_and_J_1B_2","M","1B",49,"11/8/21","9/20/21","Eye",NA,NA,"Eye_1","MRW","639",2,"M8","M8","M8_2",NA,NA,NA
"M9_1","C1","F","2",155,"8/16/22","3/14/22","Kidney",NA,"3/4/23","Kidney_1","EC","R254",1,"M9","M9","M9_1",NA,NA,NA
"M9_2","P_1A_2","F","1A",103,"12/20/21","9/8/21","SpinalCord",NA,"3/10/23","SpinalCord_1","EC","RNA419",2,"M9","M9","M9_2",NA,NA,NA
"N1_1","P_1B_1","F","1B",77,"12/6/21","9/20/21","Gut",NA,"3/8/23","Gut_1","EC","RNA365",1,"N1","N1","N1_1",NA,NA,NA
"N1_2","P_1B_3","F","1B",77,"12/6/21","9/20/21","Bone","4/19/23","4/22/23","Bone_1","EC","RNA587",2,"N1","N1","N1_2",NA,NA,NA
"N10_1","J_1A_1","M","1A",152,"2/7/22","9/8/21","Kidney",NA,"3/4/23","Kidney_2","JC","R271",1,"N10","N10","N10_1",NA,NA,NA
"N10_2","C04","F","2",134,"7/26/22","3/14/22","SpinalCord",NA,"3/13/23","SpinalCord_2","JC","RNA436",2,"N10","N10","N10_2",NA,NA,NA
"N11_1","P_1A_1","F","1A",47,"10/25/21","9/8/21","Kidney",NA,"3/4/23","Kidney_2","EC","R287",1,"N11","N11","N11_1",NA,NA,NA
"N11_2","P_1A_10","M","1A",103,"12/20/21","9/8/21","SpinalCord",NA,"3/13/23","SpinalCord_2","EC","RNA452",2,"N11","N11","N11_2",NA,NA,NA
"N12_2","P_1B_9_and_J_1B_5","F","1B",49,"11/8/21","9/20/21","Eye",NA,NA,"Eye_1","MRW","648",2,"N12","N12","N12_2",NA,NA,NA
"N13_1","J_1A_25","M","1A",103,"12/20/21","9/8/21","Muscle",NA,"3/15/23","Muscle_1","EC","RNA475",1,"N13","N13","N13_1",NA,NA,NA
"N13_2","A17","M","2",78,"5/31/22","3/14/22","Heart",NA,"3/3/23","Heart_1","EC","R200",2,"N13","N13","N13_2",NA,NA,NA
"N14_1","I03","M","2",162,"8/23/22","3/14/22","Muscle",NA,"3/17/23","Muscle_2","EC","RNA491",1,"N14","N14","N14_1",NA,NA,NA
"N14_2","J_1B_11","M","1B",161,"2/28/22","9/20/21","Heart",NA,"3/3/23","Heart_1","JC","R216",2,"N14","N14","N14_2",NA,NA,NA
"N15_1","P_1B_1","F","1B",77,"12/6/21","9/20/21","Muscle",NA,"3/27/23","Muscle_3","EC","RNA507",1,"N15","N15","N15_1",NA,NA,NA
"N15_2","P_1B_8","M","1B",147,"2/14/22","9/20/21","Heart",NA,"3/3/23","Heart_2","EC","R232",2,"N15","N15","N15_2",NA,NA,NA
"N16_2","P_1A_4","M","1A",133,"1/19/22","9/8/21","Eye",NA,NA,"Eye_1","MRW","656",2,"N16","N16","N16_2",NA,NA,NA
"N17_1","P_1A_8","F","1A",75,"11/22/21","9/8/21","Skin",NA,"2/8/23","Skin_1","IG","R90",1,"N17","N17","N17_1",NA,NA,NA
"N17_2","J_1B_11","M","1B",161,"2/28/22","9/20/21","Spleen",NA,"3/6/23","Spleen_1","EC","RNA310",2,"N17","N17","N17_2",NA,NA,NA
"N18_1","E04","M","2",102,"6/24/22","3/14/22","Skin",NA,"2/8/23","Skin_2","IG","R106",1,"N18","N18","N18_1",NA,NA,NA
"N18_2","D_14","F","2",52,"5/5/22","3/14/22","Spleen",NA,"3/6/23","Spleen_1","JC","RNA326",2,"N18","N18","N18_2",NA,NA,NA
"N19_1","P_1B_1","F","1B",77,"12/6/21","9/20/21","Skin",NA,"2/8/23","Skin_2","EC","R122",1,"N19","N19","N19_1",NA,NA,NA
"N19_2","J_1A_1","M","1A",152,"2/7/22","9/8/21","Spleen",NA,"3/6/23","Spleen_2","EC","RNA342",2,"N19","N19","N19_2",NA,NA,NA
"N2_1","F05","M","2",102,"6/24/22","3/14/22","Gut",NA,"3/8/23","Gut_1","JC","RNA381",1,"N2","N2","N2_1",NA,NA,NA
"N2_2","D_06","F","2",52,"5/5/22","3/14/22","Bone","4/26/23","4/22/23","Bone_2","EC","RNA603",2,"N2","N2","N2_2",NA,NA,NA
"N21_1","J_1B_20","M","1B",77,"12/6/21","9/20/21","Testis",NA,"2/10/23","Testis_1","IG","149",1,"N21","N21","N21_1",NA,NA,NA
"N21_2","J_1A_22","M","1A",47,"10/25/21","9/8/21","Brain",NA,"1/31/23","Brain_1","EC","R36",2,"N21","N21","N21_2",NA,NA,NA
"N22_1","C04","F","2",134,"7/26/22","3/14/22","Ovary",NA,"2/24/23","Ovary_2","EC","161",1,"N22","N22","N22_1",NA,NA,NA
"N22_2","D_06","F","2",52,"5/5/22","3/14/22","Brain",NA,"2/1/23","Brain_2","EC","R52",2,"N22","N22","N22_2",NA,NA,NA
"N23_1","J_1B_12","M","1B",49,"11/8/21","9/20/21","Testis",NA,"2/24/23","Testis_2","JC","177",1,"N23","N23","N23_1",NA,NA,NA
"N23_2","J_1B_13","M","1B",77,"12/6/21","9/20/21","Brain",NA,"2/1/23","Brain_2","IG","R68",2,"N23","N23","N23_2",NA,NA,NA
"N3_1","J_1A_24","F","1A",47,"10/25/21","9/8/21","Gut",NA,"3/9/23","Gut_2","EC","RNA397",1,"N3","N3","N3_1",NA,NA,NA
"N3_2","J_1A_17","M","1A",47,"10/25/21","9/8/21","Bone","4/28/23","4/29/23","Bone_3","EC","RNA619",2,"N3","N3","N3_2",NA,NA,NA
"N4_2","P_1A_1_and_J_1A_24","F","1A",47,"10/25/21","9/8/21","Eye",NA,NA,"Eye_1","MRW","632",2,"N4","N4","N4_2",NA,NA,NA
"N5_1","A06","F","2",102,"6/24/22","3/14/22","Liver",NA,"1/30/23","Liver_2","IG","R14",1,"N5","N5","N5_1",NA,NA,NA
"N5_2","J_1B_11","M","1B",161,"2/28/22","9/20/21","Fat","4/12/23","4/16/23","Fat_1","EC","RNA530",2,"N5","N5","N5_2",NA,NA,NA
"N6_1","J_1B_13","M","1B",77,"12/6/21","9/20/21","Liver",NA,"3/21/22","Liver_1","EC","RNA671",1,"N6","N6","N6_1",NA,NA,NA
"N6_2","F05","M","2",102,"6/24/22","3/14/22","Fat","4/12/23","4/17/23","Fat_2","EC","RNA546",2,"N6","N6","N6_2",NA,NA,NA
"N7_1","J_1B_20","M","1B",77,"12/6/21","9/20/21","Liver",NA,"3/21/22","Liver_1","IG","RNA687",1,"N7","N7","N7_1",NA,NA,NA
"N7_2","P_1A_2","F","1A",103,"12/20/21","9/8/21","Fat","4/12/23","4/19/23","Fat_3","EC","RNA563",2,"N7","N7","N7_2",NA,NA,NA
"N8_2","J_1B_4","M","1B",161,"2/28/22","9/20/21","Eye",NA,NA,"Eye_1","MRW","640",2,"N8","N8","N8_2",NA,NA,NA
"N9_1","J04","M","2",162,"8/23/22","3/14/22","Kidney",NA,"3/4/23","Kidney_1","EC","R255",1,"N9","N9","N9_1",NA,NA,NA
"N9_2","J_1B_12","M","1B",49,"11/8/21","9/20/21","SpinalCord",NA,"3/10/23","SpinalCord_1","EC","RNA420",2,"N9","N9","N9_2",NA,NA,NA
"O1_1","J_1A_17","M","1A",47,"10/25/21","9/8/21","Gut",NA,"3/8/23","Gut_1","EC","RNA366",1,"O1","O1","O1_1",NA,NA,NA
"O1_2","P_1B_1","F","1B",77,"12/6/21","9/20/21","Bone","4/19/23","4/22/23","Bone_1","EC","RNA588",2,"O1","O1","O1_2",NA,NA,NA
