"","animalID","sex","cohort","age_days","harvest_date","hatch_date","tissue","tissue_grind_date","RNA_extract_date","RNA_batch","RNA_extractor","RNAID","cDNA_batch","plate_well","sampleNames","lib","censored","censor_code","notes"
"E23_1","J_1A_25","M","1A",103,"12/20/21","9/8/21","Testis",NA,"2/24/23","Testis_2","EC","168",1,"E23","E23","E23_1",NA,NA,NA
"E23_2","P_1A_10","M","1A",103,"12/20/21","9/8/21","Brain",NA,"2/1/23","Brain_2","EC","R59",2,"E23","E23","E23_2",NA,NA,NA
"E24_1","P_1A_6","M","1A",133,"1/19/22","9/8/21","Testis",NA,"2/24/23","Testis_2","JC","184",1,"E24","E24","E24_1",NA,NA,NA
"E24_2","J_1B_11","M","1B",161,"2/28/22","9/20/21","Brain",NA,"2/1/23","Brain_2","IG","R75",2,"E24","E24","E24_2",NA,NA,NA
"E3_1","I06","F","2",78,"5/31/22","3/14/22","Gut",NA,"3/9/23","Gut_2","EC","RNA388",1,"E3","E3","E3_1",NA,NA,NA
"E3_2","J_1A_13","M","1A",75,"11/22/21","9/8/21","Bone","4/28/23","4/29/23","Bone_3","EC","RNA610",2,"E3","E3","E3_2",NA,NA,NA
"E4_1","J_1A_1","M","1A",152,"2/7/22","9/8/21","Gut",NA,"3/9/23","Gut_2","EC","RNA404",1,"E4","E4","E4_1",NA,NA,NA
"E4_2","P_1A_10","M","1A",103,"12/20/21","9/8/21","Bone","4/28/23","4/29/23","Bone_3","EC","RNA626",2,"E4","E4","E4_2",NA,NA,NA
"E5_1","I03","M","2",162,"8/23/22","3/14/22","Liver",NA,"1/30/23","Liver_2","EC","R05",1,"E5","E5","E5_1",NA,NA,NA
"E5_2","C1","F","2",155,"8/16/22","3/14/22","Fat","4/11/23","4/16/23","Fat_1","EC","RNA521",2,"E5","E5","E5_2",NA,NA,NA
"E6_1","C04","F","2",134,"7/26/22","3/14/22","Liver",NA,"1/30/23","Liver_2","IG","R21",1,"E6","E6","E6_1",NA,NA,NA
"E6_2","J_1A_17","M","1A",47,"10/25/21","9/8/21","Fat","4/12/23","4/17/23","Fat_2","EC","RNA537",2,"E6","E6","E6_2",NA,NA,NA
"E7_1","P_1B_8","M","1B",147,"2/14/22","9/20/21","Liver",NA,"3/21/22","Liver_1","EC","RNA678",1,"E7","E7","E7_1",NA,NA,NA
"E7_2","B01","M","2",134,"7/26/22","3/14/22","Fat","4/12/23","4/19/23","Fat_3","EC","RNA553",2,"E7","E7","E7_2",NA,NA,NA
"E8_1","J_1B_7","F","1B",147,"2/14/22","9/20/21","Liver",NA,"3/21/22","Liver_1","IG","RNA694",1,"E8","E8","E8_1",NA,NA,NA
"E8_2","P_1B_11","M","1B",147,"2/14/22","9/20/21","Fat","4/13/23","4/19/23","Fat_3","EC","RNA571",2,"E8","E8","E8_2",NA,NA,NA
"E9_1","A01","M","2",78,"5/31/22","3/14/22","Kidney",NA,"3/4/23","Kidney_1","EC","R246",1,"E9","E9","E9_1",NA,NA,NA
"E9_2","E04","M","2",102,"6/24/22","3/14/22","SpinalCord",NA,"3/10/23","SpinalCord_1","EC","RNA411",2,"E9","E9","E9_2",NA,NA,NA
"F1_1","C03","M","2",162,"8/23/22","3/14/22","Gut",NA,"3/8/23","Gut_1","EC","RNA357",1,"F1","F1","F1_1",NA,NA,NA
"F1_2","H_02","M","2",52,"5/5/22","3/14/22","Bone","4/19/23","4/22/23","Bone_1","EC","RNA577",2,"F1","F1","F1_2",NA,NA,NA
"F10_1","P_1B_9","F","1B",49,"11/8/21","9/20/21","Kidney",NA,"3/4/23","Kidney_1","JC","R263",1,"F10","F10","F10_1",NA,NA,NA
"F10_2","P_1B_2","M","1B",133,"1/31/22","9/20/21","SpinalCord",NA,"3/13/23","SpinalCord_2","JC","RNA428",2,"F10","F10","F10_2",NA,NA,NA
"F11_1","C03","M","2",162,"8/23/22","3/14/22","Kidney",NA,"3/4/23","Kidney_2","JC","R279",1,"F11","F11","F11_1",NA,NA,NA
"F11_2","D12","M","2",134,"7/26/22","3/14/22","SpinalCord",NA,"3/13/23","SpinalCord_2","EC","RNA444",2,"F11","F11","F11_2",NA,NA,NA
"F12_1","P_1A_10","M","1A",103,"12/20/21","9/8/21","Kidney",NA,"3/4/23","Kidney_2","EC","R295",1,"F12","F12","F12_1",NA,NA,NA
"F12_2","P_1A_8","F","1A",75,"11/22/21","9/8/21","SpinalCord",NA,"3/13/23","SpinalCord_2","EC","RNA461",2,"F12","F12","F12_2",NA,NA,NA
"F13_1","C03","M","2",162,"8/23/22","3/14/22","Muscle",NA,"3/15/23","Muscle_1","EC","RNA467",1,"F13","F13","F13_1",NA,NA,NA
"F13_2","E02","F","2",78,"5/31/22","3/14/22","Heart",NA,"3/3/23","Heart_1","EC","R192",2,"F13","F13","F13_2",NA,NA,NA
"F14_1","J_1B_7","F","1B",147,"2/14/22","9/20/21","Muscle",NA,"3/17/23","Muscle_2","EC","RNA483",1,"F14","F14","F14_1",NA,NA,NA
"F14_2","J_1B_7","F","1B",147,"2/14/22","9/20/21","Heart",NA,"3/3/23","Heart_1","JC","R208",2,"F14","F14","F14_2",NA,NA,NA
"F15_1","P_1B_10","M","1B",133,"1/31/22","9/20/21","Muscle",NA,"3/27/23","Muscle_3","EC","RNA499",1,"F15","F15","F15_1",NA,NA,NA
"F15_2","J05","F","2",102,"6/24/22","3/14/22","Heart",NA,"3/3/23","Heart_2","EC","R224",2,"F15","F15","F15_2",NA,NA,NA
"F16_1","J_1B_5","F","1B",49,"11/8/21","9/20/21","Muscle",NA,"3/27/23","Muscle_3","EC","RNA515",1,"F16","F16","F16_1",NA,NA,NA
"F16_2","J_1A_17","M","1A",47,"10/25/21","9/8/21","Heart",NA,"3/3/23","Heart_2","EC","R240",2,"F16","F16","F16_2",NA,NA,NA
"F17_1","B01","M","2",134,"7/26/22","3/14/22","Skin",NA,"2/8/23","Skin_1","EC","R82",1,"F17","F17","F17_1",NA,NA,NA
"F17_2","B01","M","2",134,"7/26/22","3/14/22","Spleen",NA,"3/6/23","Spleen_1","EC","RNA302",2,"F17","F17","F17_2",NA,NA,NA
"F18_1","P_1B_4","F","1B",147,"2/14/22","9/20/21","Skin",NA,"2/8/23","Skin_1","IG","R98",1,"F18","F18","F18_1",NA,NA,NA
"F18_2","P_1B_1","F","1B",77,"12/6/21","9/20/21","Spleen",NA,"3/6/23","Spleen_1","JC","RNA318",2,"F18","F18","F18_2",NA,NA,NA
"F19_1","P_1A_3","M","1A",152,"2/7/22","9/8/21","Skin",NA,"2/8/23","Skin_2","IG","R114",1,"F19","F19","F19_1",NA,NA,NA
"F19_2","E_01","M","2",52,"5/5/22","3/14/22","Spleen",NA,"3/6/23","Spleen_2","EC","RNA334",2,"F19","F19","F19_2",NA,NA,NA
"F2_1","P_1B_11","M","1B",147,"2/14/22","9/20/21","Gut",NA,"3/8/23","Gut_1","JC","RNA373",1,"F2","F2","F2_1",NA,NA,NA
"F2_2","J_1B_6","F","1B",133,"1/31/22","9/20/21","Bone","4/26/23","4/22/23","Bone_2","EC","RNA595",2,"F2","F2","F2_2",NA,NA,NA
"F20_1","P_1A_1","F","1A",47,"10/25/21","9/8/21","Skin",NA,"2/8/23","Skin_2","EC","R130",1,"F20","F20","F20_1",NA,NA,NA
"F20_2","J_1B_7","F","1B",147,"2/14/22","9/20/21","Spleen",NA,"3/6/23","Spleen_2","EC","RNA350",2,"F20","F20","F20_2",NA,NA,NA
"F21_2","B01","M","2",134,"7/26/22","3/14/22","Brain",NA,"1/31/23","Brain_1","IG","R28",2,"F21","F21","F21_2",NA,NA,NA
"F22_2","J_1A_17","M","1A",47,"10/25/21","9/8/21","Brain",NA,"1/31/23","Brain_1","EC","R44",2,"F22","F22","F22_2",NA,NA,NA
"F23_1","J_1A_17","M","1A",47,"10/25/21","9/8/21","Testis",NA,"2/24/23","Testis_2","EC","169",1,"F23","F23","F23_1",NA,NA,NA
