,lib,sampleNames,condition,plate_well,RNAID,tissue,animalID,sex,cohort,age_days,RNA_batch,RNA_extractor,cDNA_batch,seq_batch,file
M6_1,M6_1,M6,LiverF7,M6,RNA670,Liver,P_1B_1,F,1B,77,1,EC,1,1,M6_CKDL240007483-1A_22553JLT4_L7.featureCounts
A20_2,A20_2,A20,SpleenM47,A20,RNA345,Spleen,J_1A_22,M,1A,47,2,EC,2,2,A20_CKDL240007484-1A_22553JLT4_L6.featureCounts
B12_2,B12_2,B12,SpinalCordM47,B12,RNA456 - LOST,SpinalCord,J_1A_22,M,1A,47,2,EC,2,2,B12_CKDL240007484-1A_22553JLT4_L6.featureCounts
B14_2,B14_2,B14,HeartM47,B14,R204,Heart,J_1A_22,M,1A,47,1,JC,2,2,B14_CKDL240007484-1A_22553JLT4_L6.featureCounts
B4_2,B4_2,B4,BoneF47,B4,RNA621,Bone,J_1A_24,F,1A,47,3,EC,2,2,B4_CKDL240007484-1A_22553JLT4_L6.featureCounts
C20_2,C20_2,C20,SpleenF47,C20,RNA347,Spleen,J_1A_24,F,1A,47,2,EC,2,2,C20_CKDL240007484-1A_22553JLT4_L6.featureCounts
D16_2,D16_2,D16,HeartF47,D16,R238,Heart,J_1A_24,F,1A,47,2,EC,2,2,D16_CKDL240007484-1A_22553JLT4_L6.featureCounts
E06_2,E06_2,E06,FatM47,E06,RNA537,Fat,J_1A_17,M,1A,47,2,EC,2,2,E6_CKDL240007484-1A_22553JLT4_L6.featureCounts
E08_2,E08_2,E08,FatF47,E08,RNA569,Fat,P_1A_1,F,1A,47,3,EC,2,2,E8_CKDL240007484-1A_22553JLT4_L6.featureCounts
E14_2,E14_2,E14,HeartF47,E14,R207,Heart,P_1A_1,F,1A,47,1,JC,2,2,E14_CKDL240007484-1A_22553JLT4_L6.featureCounts
F07_2,F07_2,F07,FatM47,F07,RNA554,Fat,J_1A_22,M,1A,47,3,EC,2,2,F7_CKDL240007484-1A_22553JLT4_L6.featureCounts
F12_2,F12_2,F12,SpinalCordF47,F12,RNA460,SpinalCord,J_1A_24,F,1A,47,2,EC,2,2,F12_CKDL240007484-1A_22553JLT4_L6.featureCounts
F16_2,F16_2,F16,HeartM47,F16,R240,Heart,J_1A_17,M,1A,47,2,EC,2,2,F16_CKDL240007484-1A_22553JLT4_L6.featureCounts
F22_2,F22_2,F22,BrainM47,F22,R44,Brain,J_1A_17,M,1A,47,1,EC,2,2,F22_CKDL240007484-1A_22553JLT4_L6.featureCounts
F23_2,F23_2,F23,BrainF47,F23,R60,Brain,J_1A_24,F,1A,47,2,EC,2,2,F23_CKDL240007484-1A_22553JLT4_L6.featureCounts
G02_2,G02_2,G02,BoneF47,G02,RNA594,Bone,P_1A_1,F,1A,47,2,EC,2,2,G2_CKDL240007484-1A_22553JLT4_L6.featureCounts
G07_2,G07_2,G07,FatF47,G07,RNA555,Fat,J_1A_24,F,1A,47,3,EC,2,2,G7_CKDL240007484-1A_22553JLT4_L6.featureCounts
G22_2,G22_2,G22,BrainF47,G22,R45,Brain,P_1A_1,F,1A,47,1,EC,2,2,G22_CKDL240007484-1A_22553JLT4_L6.featureCounts
I12_2,I12_2,I12,EyeM47,I12,643,Eye,J_1A_17-and-J_1A_22,M,1A,47,NA,MRW,2,2,I12_CKDL240007484-1A_22553JLT4_L6.featureCounts
J03_2,J03_2,J03,BoneM47,J03,RNA613,Bone,J_1A_22,M,1A,47,3,EC,2,2,J3_CKDL240007484-1A_22553JLT4_L6.featureCounts
J19_2,J19_2,J19,SpleenM47,J19,RNA338,Spleen,J_1A_17,M,1A,47,2,EC,2,2,J19_CKDL240007484-1A_22553JLT4_L6.featureCounts
L11_2,L11_2,L11,SpinalCordM47,L11,RNA450,SpinalCord,J_1A_17,M,1A,47,2,EC,2,2,L11_CKDL240007484-1A_22553JLT4_L6.featureCounts
M11_2,M11_2,M11,SpinalCordF47,M11,RNA451,SpinalCord,P_1A_1,F,1A,47,2,EC,2,2,M11_CKDL240007484-1A_22553JLT4_L6.featureCounts
M19_2,M19_2,M19,SpleenF47,M19,RNA341,Spleen,P_1A_1,F,1A,47,2,EC,2,2,M19_CKDL240007484-1A_22553JLT4_L6.featureCounts
N04_2,N04_2,N04,EyeF47,N04,632,Eye,P_1A_1-and-J_1A_24,F,1A,47,NA,MRW,2,2,N4_CKDL240007484-1A_22553JLT4_L6.featureCounts
N21_2,N21_2,N21,BrainM47,N21,R36,Brain,J_1A_22,M,1A,47,1,EC,2,2,N21_CKDL240007484-1A_22553JLT4_L6.featureCounts
P03_2,P03_2,P03,BoneM47,P03,RNA619,Bone,J_1A_17,M,1A,47,3,EC,2,2,P3_CKDL240007484-1A_22553JLT4_L6.featureCounts
A11_1,A11_1,A11,KidneyM47,A11,R274,Kidney,J_1A_22,M,1A,47,2,JC,1,1,A11_CKDL240007483-1A_22553JLT4_L7.featureCounts
B20_1,B20_1,B20,SkinM47,B20,R126,Skin,J_1A_17,M,1A,47,2,EC,1,1,B20_CKDL240007483-1A_22553JLT4_L7.featureCounts
B4_1,B4_1,B4,GutM47,B4,RNA401,Gut,J_1A_22,M,1A,47,2,EC,1,1,B4_CKDL240007483-1A_22553JLT4_L7.featureCounts
C16_1,C16_1,C16,MuscleM47,C16,RNA512,Muscle,J_1A_22,M,1A,47,3,EC,1,1,C16_CKDL240007483-1A_22553JLT4_L7.featureCounts
D12_1,D12_1,D12,KidneyM47,D12,R293,Kidney,J_1A_17,M,1A,47,2,EC,1,1,D12_CKDL240007483-1A_22553JLT4_L7.featureCounts
E20_1,E20_1,E20,SkinM47,E20,R129,Skin,J_1A_22,M,1A,47,2,EC,1,1,E20_CKDL240007483-1A_22553JLT4_L7.featureCounts
F20_1,F20_1,F20,SkinF47,F20,R130,Skin,P_1A_1,F,1A,47,2,EC,1,1,F20_CKDL240007483-1A_22553JLT4_L7.featureCounts
N21_1,N21_1,N21,GonadF47,N21,145,Ovary,P_1A_1,F,1A,47,1,IG,1,1,N21_CKDL240007483-1A_22553JLT4_L7.featureCounts
G4_1,G4_1,G4,GutF47,G4,RNA406,Gut,P_1A_1,F,1A,47,2,EC,1,1,G4_CKDL240007483-1A_22553JLT4_L7.featureCounts
G6_1,G6_1,G6,LiverF47,G6,RNA664,Liver,J_1A_24,F,1A,47,1,EC,1,1,G6_CKDL240007483-1A_22553JLT4_L7.featureCounts
G7_1,G7_1,G7,LiverF47,G7,RNA680,Liver,P_1A_1,F,1A,47,1,IG,1,1,G7_CKDL240007483-1A_22553JLT4_L7.featureCounts
H6_1,H6_1,H6,LiverM47,H6,RNA665,Liver,J_1A_17,M,1A,47,1,EC,1,1,H6_CKDL240007483-1A_22553JLT4_L7.featureCounts
H7_1,H7_1,H7,LiverM47,H7,RNA681,Liver,J_1A_22,M,1A,47,1,IG,1,1,H7_CKDL240007483-1A_22553JLT4_L7.featureCounts
K15_1,K15_1,K15,MuscleF47,K15,RNA504,Muscle,P_1A_1,F,1A,47,3,EC,1,1,K15_CKDL240007483-1A_22553JLT4_L7.featureCounts
L10_1,L10_1,L10,KidneyF47,L10,R269,Kidney,J_1A_24,F,1A,47,1,JC,1,1,L10_CKDL240007483-1A_22553JLT4_L7.featureCounts
M13_1,M13_1,M13,MuscleM47,M13,RNA474,Muscle,J_1A_17,M,1A,47,1,EC,1,1,M13_CKDL240007483-1A_22553JLT4_L7.featureCounts
N11_1,N11_1,N11,KidneyF47,N11,R287,Kidney,P_1A_1,F,1A,47,2,EC,1,1,N11_CKDL240007483-1A_22553JLT4_L7.featureCounts
P21_1,P21_1,P21,GonadF47,P21,147,Ovary,J_1A_24,F,1A,47,1,IG,1,1,P21_CKDL240007483-1A_22553JLT4_L7.featureCounts
N3_1,N3_1,N3,GutF47,N3,RNA397,Gut,J_1A_24,F,1A,47,2,EC,1,1,N3_CKDL240007483-1A_22553JLT4_L7.featureCounts
O1_1,O1_1,O1,GutM47,O1,RNA366,Gut,J_1A_17,M,1A,47,1,EC,1,1,O1_CKDL240007483-1A_22553JLT4_L7.featureCounts
O17_1,O17_1,O17,SkinF47,O17,R91,Skin,J_1A_24,F,1A,47,1,IG,1,1,O17_CKDL240007483-1A_22553JLT4_L7.featureCounts
F24_1,F24_1,F24,GonadF49,F24,185,Ovary,J_1B_5,F,1B,49,2,JC,1,1,F24_CKDL240007483-1A_22553JLT4_L7.featureCounts
P13_1,P13_1,P13,MuscleF47,P13,RNA477,Muscle,J_1A_24,F,1A,47,1,EC,1,1,P13_CKDL240007483-1A_22553JLT4_L7.featureCounts
I21_1,I21_1,I21,GonadF52,I21,140,Ovary,D_06,F,2,52,1,EC,1,1,I21_CKDL240007483-1A_22553JLT4_L7.featureCounts
B22_2,B22_2,B22,BrainM49,B22,R40,Brain,J_1B_2,M,1B,49,1,EC,2,2,B22_CKDL240007484-1A_22553JLT4_L6.featureCounts
C06_2,C06_2,C06,FatM49,C06,RNA535,Fat,J_1B_12,M,1B,49,2,EC,2,2,C6_CKDL240007484-1A_22553JLT4_L6.featureCounts
C23_2,C23_2,C23,BrainF49,C23,R57,Brain,J_1B_5,F,1B,49,2,EC,2,2,C23_CKDL240007484-1A_22553JLT4_L6.featureCounts
D20_2,D20_2,D20,SpleenF49,D20,RNA348,Spleen,P_1B_9,F,1B,49,2,EC,2,2,D20_CKDL240007484-1A_22553JLT4_L6.featureCounts
E02_2,E02_2,E02,BoneM49,E02,RNA592,Bone,J_1B_12,M,1B,49,2,EC,2,2,E2_CKDL240007484-1A_22553JLT4_L6.featureCounts
E04_2,E04_2,E04,BoneF49,E04,RNA624,Bone,P_1B_9,F,1B,49,3,EC,2,2,E4_CKDL240007484-1A_22553JLT4_L6.featureCounts
E16_2,E16_2,E16,HeartF49,E16,R239,Heart,J_1B_5,F,1B,49,2,EC,2,2,E16_CKDL240007484-1A_22553JLT4_L6.featureCounts
E18_2,E18_2,E18,SpleenM49,E18,RNA317,Spleen,J_1B_12,M,1B,49,1,JC,2,2,E18_CKDL240007484-1A_22553JLT4_L6.featureCounts
E20_2,E20_2,E20,SpleenF49,E20,RNA349,Spleen,J_1B_5,F,1B,49,2,EC,2,2,E20_CKDL240007484-1A_22553JLT4_L6.featureCounts
F03_2,F03_2,F03,BoneM49,F03,RNA609,Bone,J_1B_2,M,1B,49,3,EC,2,2,F3_CKDL240007484-1A_22553JLT4_L6.featureCounts
G16_2,G16_2,G16,HeartM49,G16,R241,Heart,J_1B_2,M,1B,49,2,EC,2,2,G16_CKDL240007484-1A_22553JLT4_L6.featureCounts
H06_2,H06_2,H06,FatF49,H06,RNA540,Fat,P_1B_9,F,1B,49,2,EC,2,2,H6_CKDL240007484-1A_22553JLT4_L6.featureCounts
H22_2,H22_2,H22,BrainF49,H22,R46,Brain,P_1B_9,F,1B,49,1,EC,2,2,H22_CKDL240007484-1A_22553JLT4_L6.featureCounts
I03_2,I03_2,I03,BoneF49,I03,RNA612,Bone,J_1B_5,F,1B,49,3,EC,2,2,I3_CKDL240007484-1A_22553JLT4_L6.featureCounts
J10_2,J10_2,J10,SpinalCordM49,J10,RNA432,SpinalCord,J_1B_2,M,1B,49,2,JC,2,2,J10_CKDL240007484-1A_22553JLT4_L6.featureCounts
J14_2,J14_2,J14,HeartM49,J14,R212,Heart,J_1B_12,M,1B,49,1,JC,2,2,J14_CKDL240007484-1A_22553JLT4_L6.featureCounts
K19_2,K19_2,K19,SpleenM49,K19,RNA339,Spleen,J_1B_2,M,1B,49,2,EC,2,2,K19_CKDL240007484-1A_22553JLT4_L6.featureCounts
L07_2,L07_2,L07,FatF49,L07,RNA560,Fat,J_1B_5,F,1B,49,3,EC,2,2,L7_CKDL240007484-1A_22553JLT4_L6.featureCounts
M08_2,M08_2,M08,EyeM49,M08,639,Eye,J_1B_12-and-J_1B_2,M,1B,49,NA,MRW,2,2,M8_CKDL240007484-1A_22553JLT4_L6.featureCounts
N09_2,N09_2,N09,SpinalCordM49,N09,RNA420,SpinalCord,J_1B_12,M,1B,49,1,EC,2,2,N9_CKDL240007484-1A_22553JLT4_L6.featureCounts
N12_2,N12_2,N12,EyeF49,N12,648,Eye,P_1B_9-and-J_1B_5,F,1B,49,NA,MRW,2,2,N12_CKDL240007484-1A_22553JLT4_L6.featureCounts
P07_2,P07_2,P07,FatM49,P07,RNA564,Fat,J_1B_2,M,1B,49,3,EC,2,2,P7_CKDL240007484-1A_22553JLT4_L6.featureCounts
P09_2,P09_2,P09,SpinalCordF49,P09,RNA422,SpinalCord,P_1B_9,F,1B,49,1,EC,2,2,P9_CKDL240007484-1A_22553JLT4_L6.featureCounts
P11_2,P11_2,P11,SpinalCordF49,P11,RNA454,SpinalCord,J_1B_5,F,1B,49,2,EC,2,2,P11_CKDL240007484-1A_22553JLT4_L6.featureCounts
B12_1,B12_1,B12,KidneyF49,B12,R291,Kidney,J_1B_5,F,1B,49,2,EC,1,1,B12_CKDL240007483-1A_22553JLT4_L7.featureCounts
C14_1,C14_1,C14,MuscleM49,C14,RNA480,Muscle,J_1B_2,M,1B,49,1,EC,1,1,C14_CKDL240007483-1A_22553JLT4_L7.featureCounts
C18_1,C18_1,C18,SkinM49,C18,R95,Skin,J_1B_2,M,1B,49,1,IG,1,1,C18_CKDL240007483-1A_22553JLT4_L7.featureCounts
C20_1,C20_1,C20,SkinF49,C20,R127,Skin,P_1B_9,F,1B,49,2,EC,1,1,C20_CKDL240007483-1A_22553JLT4_L7.featureCounts
F10_1,F10_1,F10,KidneyF49,F10,R263,Kidney,P_1B_9,F,1B,49,1,JC,1,1,F10_CKDL240007483-1A_22553JLT4_L7.featureCounts
F16_1,F16_1,F16,MuscleF49,F16,RNA515,Muscle,J_1B_5,F,1B,49,3,EC,1,1,F16_CKDL240007483-1A_22553JLT4_L7.featureCounts
O22_1,O22_1,O22,GonadF52,O22,162,Ovary,D_14,F,2,52,2,EC,1,1,O22_CKDL240007483-1A_22553JLT4_L7.featureCounts
G15_1,G15_1,G15,MuscleF49,G15,RNA500,Muscle,P_1B_9,F,1B,49,3,EC,1,1,G15_CKDL240007483-1A_22553JLT4_L7.featureCounts
G19_1,G19_1,G19,SkinM49,G19,R115,Skin,J_1B_12,M,1B,49,2,IG,1,1,G19_CKDL240007483-1A_22553JLT4_L7.featureCounts
H15_1,H15_1,H15,MuscleM49,H15,RNA501,Muscle,J_1B_12,M,1B,49,3,EC,1,1,H15_CKDL240007483-1A_22553JLT4_L7.featureCounts
H3_1,H3_1,H3,GutM49,H3,RNA391,Gut,J_1B_12,M,1B,49,2,EC,1,1,H3_CKDL240007483-1A_22553JLT4_L7.featureCounts
I2_1,I2_1,I2,GutM49,I2,RNA376,Gut,J_1B_2,M,1B,49,1,JC,1,1,I2_CKDL240007483-1A_22553JLT4_L7.featureCounts
I6_1,I6_1,I6,LiverF49,I6,RNA666,Liver,J_1B_5,F,1B,49,1,EC,1,1,I6_CKDL240007483-1A_22553JLT4_L7.featureCounts
I7_1,I7_1,I7,LiverF49,I7,RNA682,Liver,P_1B_9,F,1B,49,1,IG,1,1,I7_CKDL240007483-1A_22553JLT4_L7.featureCounts
J6_1,J6_1,J6,LiverM49,J6,RNA667,Liver,J_1B_12,M,1B,49,1,EC,1,1,J6_CKDL240007483-1A_22553JLT4_L7.featureCounts
J7_1,J7_1,J7,LiverM49,J7,RNA683,Liver,J_1B_2,M,1B,49,1,IG,1,1,J7_CKDL240007483-1A_22553JLT4_L7.featureCounts
K3_1,K3_1,K3,GutF49,K3,RNA394,Gut,P_1B_9,F,1B,49,2,EC,1,1,K3_CKDL240007483-1A_22553JLT4_L7.featureCounts
L19_1,L19_1,L19,SkinF49,L19,R120,Skin,J_1B_5,F,1B,49,2,EC,1,1,L19_CKDL240007483-1A_22553JLT4_L7.featureCounts
M11_1,M11_1,M11,KidneyM49,M11,R286,Kidney,J_1B_12,M,1B,49,2,EC,1,1,M11_CKDL240007483-1A_22553JLT4_L7.featureCounts
B24_1,B24_1,B24,GonadF75,B24,181,Ovary,P_1A_8,F,1A,75,2,JC,1,1,B24_CKDL240007483-1A_22553JLT4_L7.featureCounts
J23_1,J23_1,J23,GonadF75,J23,173,Ovary,P_1A_12,F,1A,75,2,JC,1,1,J23_CKDL240007483-1A_22553JLT4_L7.featureCounts
P3_1,P3_1,P3,GutF49,P3,RNA399,Gut,J_1B_5,F,1B,49,2,EC,1,1,P3_CKDL240007483-1A_22553JLT4_L7.featureCounts
P9_1,P9_1,P9,KidneyM49,P9,R257,Kidney,J_1B_2,M,1B,49,1,JC,1,1,P9_CKDL240007483-1A_22553JLT4_L7.featureCounts
A05_2,A05_2,A05,FatM52,A05,RNA517,Fat,E_01,M,2,52,1,EC,2,2,A5_CKDL240007484-1A_22553JLT4_L6.featureCounts
A11_2,A11_2,A11,SpinalCordF52,A11,RNA439,SpinalCord,D_06,F,2,52,2,JC,2,2,A11_CKDL240007484-1A_22553JLT4_L6.featureCounts
B11_2,B11_2,B11,SpinalCordM52,B11,RNA440,SpinalCord,H_02,M,2,52,2,JC,2,2,B11_CKDL240007484-1A_22553JLT4_L6.featureCounts
C05_2,C05_2,C05,FatM52,C05,RNA519,Fat,H_02,M,2,52,1,EC,2,2,C5_CKDL240007484-1A_22553JLT4_L6.featureCounts
D09_2,D09_2,D09,SpinalCordF52,D09,RNA410,SpinalCord,D_14,F,2,52,1,EC,2,2,D9_CKDL240007484-1A_22553JLT4_L6.featureCounts
F01_2,F01_2,F01,BoneM52,F01,RNA577,Bone,H_02,M,2,52,1,EC,2,2,F1_CKDL240007484-1A_22553JLT4_L6.featureCounts
F19_2,F19_2,F19,SpleenM52,F19,RNA334,Spleen,E_01,M,2,52,2,EC,2,2,F19_CKDL240007484-1A_22553JLT4_L6.featureCounts
G13_2,G13_2,G13,HeartM52,G13,R193,Heart,H_02,M,2,52,1,EC,2,2,G13_CKDL240007484-1A_22553JLT4_L6.featureCounts
H01_2,H01_2,H01,BoneM52,H01,RNA579,Bone,E_01,M,2,52,1,EC,2,2,H1_CKDL240007484-1A_22553JLT4_L6.featureCounts
H13_2,H13_2,H13,HeartF52,H13,R194,Heart,D_14,F,2,52,1,EC,2,2,H13_CKDL240007484-1A_22553JLT4_L6.featureCounts
I09_2,I09_2,I09,SpinalCordM52,I09,RNA415,SpinalCord,E_01,M,2,52,1,EC,2,2,I9_CKDL240007484-1A_22553JLT4_L6.featureCounts
I13_2,I13_2,I13,HeartF52,I13,R195,Heart,D_06,F,2,52,1,EC,2,2,I13_CKDL240007484-1A_22553JLT4_L6.featureCounts
I21_2,I21_2,I21,BrainF52,I21,R31,Brain,D_14,F,2,52,1,IG,2,2,I21_CKDL240007484-1A_22553JLT4_L6.featureCounts
L06_2,L06_2,L06,FatF52,L06,RNA544,Fat,D_14,F,2,52,2,EC,2,2,L6_CKDL240007484-1A_22553JLT4_L6.featureCounts
L18_2,L18_2,L18,SpleenF52,L18,RNA324,Spleen,D_06,F,2,52,1,JC,2,2,L18_CKDL240007484-1A_22553JLT4_L6.featureCounts
M02_2,M02_2,M02,BoneF52,M02,RNA600,Bone,D_14,F,2,52,2,EC,2,2,M2_CKDL240007484-1A_22553JLT4_L6.featureCounts
M22_2,M22_2,M22,BrainM52,M22,R51,Brain,E_01,M,2,52,2,EC,2,2,M22_CKDL240007484-1A_22553JLT4_L6.featureCounts
N18_2,N18_2,N18,SpleenF52,N18,RNA326,Spleen,D_14,F,2,52,1,JC,2,2,N18_CKDL240007484-1A_22553JLT4_L6.featureCounts
N22_2,N22_2,N22,BrainF52,N22,R52,Brain,D_06,F,2,52,2,EC,2,2,N22_CKDL240007484-1A_22553JLT4_L6.featureCounts
O06_2,O06_2,O06,FatF52,O06,RNA547,Fat,D_06,F,2,52,2,EC,2,2,O6_CKDL240007484-1A_22553JLT4_L6.featureCounts
O13_2,O13_2,O13,HeartM52,O13,R201,Heart,E_01,M,2,52,1,EC,2,2,O13_CKDL240007484-1A_22553JLT4_L6.featureCounts
O18_2,O18_2,O18,SpleenM52,O18,RNA327,Spleen,H_02,M,2,52,1,JC,2,2,O18_CKDL240007484-1A_22553JLT4_L6.featureCounts
P02_2,P02_2,P02,BoneF52,P02,RNA603,Bone,D_06,F,2,52,2,EC,2,2,P2_CKDL240007484-1A_22553JLT4_L6.featureCounts
P22_2,P22_2,P22,BrainM52,P22,R54,Brain,H_02,M,2,52,2,EC,2,2,P22_CKDL240007484-1A_22553JLT4_L6.featureCounts
A15_1,A15_1,A15,MuscleM52,A15,RNA494,Muscle,E_01,M,2,52,2,EC,1,1,A15_CKDL240007483-1A_22553JLT4_L7.featureCounts
A6_1,A6_1,A6,LiverF52,A6,R17,Liver,D_06,F,2,52,2,IG,1,1,A6_CKDL240007483-1A_22553JLT4_L7.featureCounts
B3_1,B3_1,B3,GutF52,B3,RNA385,Gut,D_06,F,2,52,1,JC,1,1,B3_CKDL240007483-1A_22553JLT4_L7.featureCounts
C1_1,C1_1,C1,GutF52,C1,RNA354,Gut,D_14,F,2,52,1,EC,1,1,C1_CKDL240007483-1A_22553JLT4_L7.featureCounts
C17_1,C17_1,C17,SkinF52,C17,R79,Skin,D_14,F,2,52,1,EC,1,1,C17_CKDL240007483-1A_22553JLT4_L7.featureCounts
C6_1,C6_1,C6,LiverF52,C6,R19,Liver,D_14,F,2,52,2,IG,1,1,C6_CKDL240007483-1A_22553JLT4_L7.featureCounts
D1_1,D1_1,D1,GutM52,D1,RNA355,Gut,E_01,M,2,52,1,EC,1,1,D1_CKDL240007483-1A_22553JLT4_L7.featureCounts
F5_1,F5_1,F5,LiverM52,F5,R6,Liver,H_02,M,2,52,2,EC,1,1,F5_CKDL240007483-1A_22553JLT4_L7.featureCounts
G11_1,G11_1,G11,KidneyF52,G11,R280,Kidney,D_06,F,2,52,2,JC,1,1,G11_CKDL240007483-1A_22553JLT4_L7.featureCounts
G23_1,G23_1,G23,GonadF77,G23,170,Ovary,P_1B_3,F,1B,77,2,EC,1,1,G23_CKDL240007483-1A_22553JLT4_L7.featureCounts
H1_1,H1_1,H1,GutM52,H1,RNA359,Gut,H_02,M,2,52,1,EC,1,1,H1_CKDL240007483-1A_22553JLT4_L7.featureCounts
H11_1,H11_1,H11,KidneyM52,H11,R281,Kidney,E_01,M,2,52,2,JC,1,1,H11_CKDL240007483-1A_22553JLT4_L7.featureCounts
H13_1,H13_1,H13,MuscleF52,H13,RNA469,Muscle,D_06,F,2,52,1,EC,1,1,H13_CKDL240007483-1A_22553JLT4_L7.featureCounts
H17_1,H17_1,H17,SkinM52,H17,R84,Skin,H_02,M,2,52,1,EC,1,1,H17_CKDL240007483-1A_22553JLT4_L7.featureCounts
I13_1,I13_1,I13,MuscleM52,I13,RNA470,Muscle,H_02,M,2,52,1,EC,1,1,I13_CKDL240007483-1A_22553JLT4_L7.featureCounts
I17_1,I17_1,I17,SkinM52,I17,R85,Skin,E_01,M,2,52,1,EC,1,1,I17_CKDL240007483-1A_22553JLT4_L7.featureCounts
A23_1,A23_1,A23,GonadF78,A23,164,Ovary,E02,F,2,78,2,EC,1,1,A23_CKDL240007483-1A_22553JLT4_L7.featureCounts
D21_1,D21_1,D21,GonadF78,D21,135,Ovary,I06,F,2,78,1,EC,1,1,D21_CKDL240007483-1A_22553JLT4_L7.featureCounts
K11_1,K11_1,K11,KidneyF52,K11,R284,Kidney,D_14,F,2,52,2,EC,1,1,K11_CKDL240007483-1A_22553JLT4_L7.featureCounts
K9_1,K9_1,K9,KidneyM52,K9,R252,Kidney,H_02,M,2,52,1,EC,1,1,K9_CKDL240007483-1A_22553JLT4_L7.featureCounts
L14_1,L14_1,L14,MuscleF52,L14,RNA489,Muscle,D_14,F,2,52,2,EC,1,1,L14_CKDL240007483-1A_22553JLT4_L7.featureCounts
M22_1,M22_1,M22,GonadF102,M22,160,Ovary,A06,F,2,102,2,EC,1,1,M22_CKDL240007483-1A_22553JLT4_L7.featureCounts
O5_1,O5_1,O5,LiverM52,O5,R15,Liver,E_01,M,2,52,2,IG,1,1,O5_CKDL240007483-1A_22553JLT4_L7.featureCounts
P18_1,P18_1,P18,SkinF52,P18,R108,Skin,D_06,F,2,52,2,IG,1,1,P18_CKDL240007483-1A_22553JLT4_L7.featureCounts
A08_2,A08_2,A08,FatM75,A08,RNA565,Fat,J_1A_13,M,1A,75,3,EC,2,2,A8_CKDL240007484-1A_22553JLT4_L6.featureCounts
A10_2,A10_2,A10,SpinalCordM75,A10,RNA423,SpinalCord,J_1A_14,M,1A,75,1,EC,2,2,A10_CKDL240007484-1A_22553JLT4_L6.featureCounts
B15_2,B15_2,B15,HeartF75,B15,R220,Heart,P_1A_12,F,1A,75,1,JC,2,2,B15_CKDL240007484-1A_22553JLT4_L6.featureCounts
B18_2,B18_2,B18,SpleenF75,B18,RNA314,Spleen,P_1A_12,F,1A,75,1,EC,2,2,B18_CKDL240007484-1A_22553JLT4_L6.featureCounts
C15_2,C15_2,C15,HeartF75,C15,R221,Heart,P_1A_8,F,1A,75,1,JC,2,2,C15_CKDL240007484-1A_22553JLT4_L6.featureCounts
C18_2,C18_2,C18,SpleenF75,C18,RNA315,Spleen,P_1A_8,F,1A,75,1,JC,2,2,C18_CKDL240007484-1A_22553JLT4_L6.featureCounts
D15_2,D15_2,D15,HeartM75,D15,R222,Heart,J_1A_13,M,1A,75,1,JC,2,2,D15_CKDL240007484-1A_22553JLT4_L6.featureCounts
D23_2,D23_2,D23,BrainF75,D23,R58,Brain,P_1A_8,F,1A,75,2,EC,2,2,D23_CKDL240007484-1A_22553JLT4_L6.featureCounts
F02_2,F02_2,F02,BoneF75,F02,RNA593,Bone,P_1A_8,F,1A,75,2,EC,2,2,F2_CKDL240007484-1A_22553JLT4_L6.featureCounts
G03_2,G03_2,G03,BoneM75,G03,RNA610,Bone,J_1A_13,M,1A,75,3,EC,2,2,G3_CKDL240007484-1A_22553JLT4_L6.featureCounts
G23_2,G23_2,G23,BrainM75,G23,R61,Brain,J_1A_14,M,1A,75,2,EC,2,2,G23_CKDL240007484-1A_22553JLT4_L6.featureCounts
H18_2,H18_2,H18,SpleenM75,H18,RNA320,Spleen,J_1A_14,M,1A,75,1,JC,2,2,H18_CKDL240007484-1A_22553JLT4_L6.featureCounts
I06_2,I06_2,I06,FatF75,I06,RNA541,Fat,P_1A_12,F,1A,75,2,EC,2,2,I6_CKDL240007484-1A_22553JLT4_L6.featureCounts
I10_2,I10_2,I10,SpinalCordF75,I10,RNA431,SpinalCord,P_1A_12,F,1A,75,2,JC,2,2,I10_CKDL240007484-1A_22553JLT4_L6.featureCounts
I14_2,I14_2,I14,HeartM75,I14,R211,Heart,J_1A_14,M,1A,75,1,JC,2,2,I14_CKDL240007484-1A_22553JLT4_L6.featureCounts
I19_2,I19_2,I19,SpleenM75,I19,RNA337,Spleen,J_1A_13,M,1A,75,2,EC,2,2,I19_CKDL240007484-1A_22553JLT4_L6.featureCounts
J04_2,J04_2,J04,EyeF75,J04,628,Eye,P_1A_12,F,1A,75,NA,MRW,2,2,J4_CKDL240007484-1A_22553JLT4_L6.featureCounts
K08_2,K08_2,K08,EyeM75,K08,637,Eye,J_1A_14-and-J_1A_13,M,1A,75,NA,MRW,2,2,K8_CKDL240007484-1A_22553JLT4_L6.featureCounts
L05_2,L05_2,L05,FatM75,L05,RNA528,Fat,J_1A_14,M,1A,75,1,EC,2,2,L5_CKDL240007484-1A_22553JLT4_L6.featureCounts
L23_2,L23_2,L23,BrainM75,L23,R66,Brain,J_1A_13,M,1A,75,2,IG,2,2,L23_CKDL240007484-1A_22553JLT4_L6.featureCounts
M21_2,M21_2,M21,BrainF75,M21,R35,Brain,P_1A_12,F,1A,75,1,EC,2,2,M21_CKDL240007484-1A_22553JLT4_L6.featureCounts
