,lib,sampleNames,condition,plate_well,RNAID,tissue,animalID,sex,cohort,age_days,RNA_batch,RNA_extractor,cDNA_batch,seq_batch,file
I15_1,I15_1,I15,MuscleF133,I15,RNA502,Muscle,J-1B-18,F,1B,133,3,EC,1,1,I15_CKDL240007483-1A_22553JLT4_L7.featureCounts
J10_1,J10_1,J10,KidneyF133,J10,R267,Kidney,J-1B-6,F,1B,133,1,JC,1,1,J10_CKDL240007483-1A_22553JLT4_L7.featureCounts
J14_1,J14_1,J14,MuscleF133,J14,RNA487,Muscle,J-1B-6,F,1B,133,2,EC,1,1,J14_CKDL240007483-1A_22553JLT4_L7.featureCounts
J19_1,J19_1,J19,SkinF133,J19,R118,Skin,J-1B-18,F,1B,133,2,EC,1,1,J19_CKDL240007483-1A_22553JLT4_L7.featureCounts
J2_1,J2_1,J2,GutF133,J2,RNA377,Gut,J-1B-18,F,1B,133,1,JC,1,1,J2_CKDL240007483-1A_22553JLT4_L7.featureCounts
K19_1,K19_1,K19,SkinM133,K19,R119,Skin,P_1B_2,M,1B,133,2,EC,1,1,K19_CKDL240007483-1A_22553JLT4_L7.featureCounts
L21_1,L21_1,L21,GonadM102,L21,143,Testis,F05,M,2,102,1,EC,1,1,L21_CKDL240007483-1A_22553JLT4_L7.featureCounts
M10_1,M10_1,M10,KidneyM133,M10,R270,Kidney,P_1A_6,M,1A,133,2,JC,1,1,M10_CKDL240007483-1A_22553JLT4_L7.featureCounts
M17_1,M17_1,M17,SkinM133,M17,R89,Skin,P_1A_4,M,1A,133,1,IG,1,1,M17_CKDL240007483-1A_22553JLT4_L7.featureCounts
D23_1,D23_1,D23,GonadM103,D23,167,Testis,P_1A_10,M,1A,103,2,EC,1,1,D23_CKDL240007483-1A_22553JLT4_L7.featureCounts
M3_1,M3_1,M3,GutM133,M3,RNA396,Gut,P_1B_10,M,1B,133,2,EC,1,1,M3_CKDL240007483-1A_22553JLT4_L7.featureCounts
O15_1,O15_1,O15,MuscleM133,O15,RNA508,Muscle,P_1B_2,M,1B,133,3,EC,1,1,O15_CKDL240007483-1A_22553JLT4_L7.featureCounts
P19_1,P19_1,P19,SkinM133,P19,R124,Skin,P_1B_10,M,1B,133,2,EC,1,1,P19_CKDL240007483-1A_22553JLT4_L7.featureCounts
P6_1,P6_1,P6,LiverM133,P6,RNA673,Liver,P_1A_4,M,1A,133,1,EC,1,1,P6_CKDL240007483-1A_22553JLT4_L7.featureCounts
B01_2,B01_2,B01,BoneM134,B01,RNA573,Bone,D12,M,2,134,1,EC,2,2,B1_CKDL240007484-1A_22553JLT4_L6.featureCounts
B13_2,B13_2,B13,HeartM134,B13,R188,Heart,D12,M,2,134,1,EC,2,2,B13_CKDL240007484-1A_22553JLT4_L6.featureCounts
B5_2,B5_2,B5,FatF134,B5,RNA518,Fat,I05,F,2,134,1,EC,2,2,B5_CKDL240007484-1A_22553JLT4_L6.featureCounts
D19_2,D19_2,D19,SpleenM134,D19,RNA332,Spleen,D12,M,2,134,1,JC,2,2,D19_CKDL240007484-1A_22553JLT4_L6.featureCounts
E07_2,E07_2,E07,FatM134,E07,RNA553,Fat,B01,M,2,134,3,EC,2,2,E7_CKDL240007484-1A_22553JLT4_L6.featureCounts
E13_2,E13_2,E13,HeartM134,E13,R191,Heart,B01,M,2,134,1,EC,2,2,E13_CKDL240007484-1A_22553JLT4_L6.featureCounts
E19_2,E19_2,E19,SpleenF134,E19,RNA333,Spleen,C04,F,2,134,2,EC,2,2,E19_CKDL240007484-1A_22553JLT4_L6.featureCounts
F11_2,F11_2,F11,SpinalCordM134,F11,RNA444,SpinalCord,D12,M,2,134,2,EC,2,2,F11_CKDL240007484-1A_22553JLT4_L6.featureCounts
F17_2,F17_2,F17,SpleenM134,F17,RNA302,Spleen,B01,M,2,134,1,EC,2,2,F17_CKDL240007484-1A_22553JLT4_L6.featureCounts
F21_2,F21_2,F21,BrainM134,F21,R28,Brain,B01,M,2,134,1,IG,2,2,F21_CKDL240007484-1A_22553JLT4_L6.featureCounts
G09_2,G09_2,G09,SpinalCordM134,G09,RNA413,SpinalCord,B01,M,2,134,1,EC,2,2,G9_CKDL240007484-1A_22553JLT4_L6.featureCounts
H21_2,H21_2,H21,BrainM134,H21,R30,Brain,D12,M,2,134,1,IG,2,2,H21_CKDL240007484-1A_22553JLT4_L6.featureCounts
I01_2,I01_2,I01,BoneM134,I01,RNA580,Bone,B01,M,2,134,1,EC,2,2,I1_CKDL240007484-1A_22553JLT4_L6.featureCounts
I05_2,I05_2,I05,FatF134,I05,RNA525,Fat,C04,F,2,134,1,EC,2,2,I5_CKDL240007484-1A_22553JLT4_L6.featureCounts
J13_2,J13_2,J13,HeartF134,J13,R196,Heart,I05,F,2,134,1,EC,2,2,J13_CKDL240007484-1A_22553JLT4_L6.featureCounts
K02_2,K02_2,K02,BoneF134,K02,RNA598,Bone,C04,F,2,134,2,EC,2,2,K2_CKDL240007484-1A_22553JLT4_L6.featureCounts
K05_2,K05_2,K05,FatM134,K05,RNA527,Fat,D12,M,2,134,1,EC,2,2,K5_CKDL240007484-1A_22553JLT4_L6.featureCounts
K09_2,K09_2,K09,SpinalCordF134,K09,RNA417,SpinalCord,I05,F,2,134,1,EC,2,2,K9_CKDL240007484-1A_22553JLT4_L6.featureCounts
K15_2,K15_2,K15,HeartF134,K15,R229,Heart,C04,F,2,134,2,EC,2,2,K15_CKDL240007484-1A_22553JLT4_L6.featureCounts
K22_2,K22_2,K22,BrainF134,K22,R49,Brain,C04,F,2,134,2,EC,2,2,K22_CKDL240007484-1A_22553JLT4_L6.featureCounts
L02_2,L02_2,L02,BoneF134,L02,RNA599,Bone,I05,F,2,134,2,EC,2,2,L2_CKDL240007484-1A_22553JLT4_L6.featureCounts
N10_2,N10_2,N10,SpinalCordF134,N10,RNA436,SpinalCord,C04,F,2,134,2,JC,2,2,N10_CKDL240007484-1A_22553JLT4_L6.featureCounts
O22_2,O22_2,O22,BrainF134,O22,R53,Brain,I05,F,2,134,2,EC,2,2,O22_CKDL240007484-1A_22553JLT4_L6.featureCounts
P18_2,P18_2,P18,SpleenF134,P18,RNA328,Spleen,I05,F,2,134,1,JC,2,2,P18_CKDL240007484-1A_22553JLT4_L6.featureCounts
A13_1,A13_1,A13,MuscleM134,A13,RNA462,Muscle,D12,M,2,134,1,EC,1,1,A13_CKDL240007483-1A_22553JLT4_L7.featureCounts
A17_1,A17_1,A17,SkinF134,A17,R77,Skin,C04,F,2,134,1,EC,1,1,A17_CKDL240007483-1A_22553JLT4_L7.featureCounts
A3_1,A3_1,A3,GutF134,A3,RNA384,Gut,I05,F,2,134,1,JC,1,1,A3_CKDL240007483-1A_22553JLT4_L7.featureCounts
A5_1,A5_1,A5,LiverM134,A5,R1,Liver,B01,M,2,134,2,EC,1,1,A5_CKDL240007483-1A_22553JLT4_L7.featureCounts
