Sample	Unique Reads	Duplicate Reads
C18_CKDL240007483-1A_225CVMLT4_L2_2_val_2	6204475.0	4614431.0
C19_CKDL240007483-1A_225CVMLT4_L2_1_val_1	5136619.0	5231324.0
C19_CKDL240007483-1A_225CVMLT4_L2_2_val_2	5051981.0	5315962.0
C1_CKDL240007483-1A_225CVMLT4_L2_1_val_1	7435281.0	7361270.0
C1_CKDL240007483-1A_225CVMLT4_L2_2_val_2	7325094.0	7471457.0
C20_CKDL240007483-1A_225CVMLT4_L2_1_val_1	3529394.0	3739014.0
C20_CKDL240007483-1A_225CVMLT4_L2_2_val_2	3452498.0	3815910.0
C21_CKDL240007483-1A_225CVMLT4_L2_1_val_1	5371724.0	2323494.0
C21_CKDL240007483-1A_225CVMLT4_L2_2_val_2	5314008.0	2381210.0
C23_CKDL240007483-1A_225CVMLT4_L2_1_val_1	5673019.0	3783597.0
C23_CKDL240007483-1A_225CVMLT4_L2_2_val_2	5609461.0	3847155.0
C24_CKDL240007483-1A_225CVMLT4_L2_1_val_1	6109181.0	2961748.0
C24_CKDL240007483-1A_225CVMLT4_L2_2_val_2	6047486.0	3023443.0
C2_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4517093.0	3443632.0
C2_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4413795.0	3546930.0
C3_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4313735.0	3478625.0
C3_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4281480.0	3510880.0
C4_CKDL240007483-1A_225CVMLT4_L2_1_val_1	3777563.0	3031384.0
C4_CKDL240007483-1A_225CVMLT4_L2_2_val_2	3717722.0	3091225.0
C5_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4571840.0	6387225.0
C5_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4477581.0	6481484.0
C6_CKDL240007483-1A_225CVMLT4_L2_1_val_1	3531771.0	4981911.0
C6_CKDL240007483-1A_225CVMLT4_L2_2_val_2	3448313.0	5065369.0
C7_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4687849.0	5985150.0
C7_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4594855.0	6078144.0
C8_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4272020.0	5335943.0
C8_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4132145.0	5475818.0
C9_CKDL240007483-1A_225CVMLT4_L2_1_val_1	6710176.0	5196389.0
C9_CKDL240007483-1A_225CVMLT4_L2_2_val_2	6575498.0	5331067.0
D10_CKDL240007483-1A_225CVMLT4_L2_1_val_1	5637991.0	3694824.0
D10_CKDL240007483-1A_225CVMLT4_L2_2_val_2	5553934.0	3778881.0
D11_CKDL240007483-1A_225CVMLT4_L2_1_val_1	6505118.0	4196790.0
D11_CKDL240007483-1A_225CVMLT4_L2_2_val_2	6306404.0	4395504.0
D12_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4852957.0	3039749.0
D12_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4799377.0	3093329.0
D13_CKDL240007483-1A_225CVMLT4_L2_1_val_1	3788396.0	5527253.0
D13_CKDL240007483-1A_225CVMLT4_L2_2_val_2	3716021.0	5599628.0
D14_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4334808.0	5666044.0
D14_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4124663.0	5876189.0
D15_CKDL240007483-1A_225CVMLT4_L2_1_val_1	3148878.0	4565712.0
D15_CKDL240007483-1A_225CVMLT4_L2_2_val_2	3020435.0	4694155.0
D16_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4008779.0	4320666.0
D16_CKDL240007483-1A_225CVMLT4_L2_2_val_2	3923584.0	4405861.0
D17_CKDL240007483-1A_225CVMLT4_L2_1_val_1	5079625.0	3542346.0
D17_CKDL240007483-1A_225CVMLT4_L2_2_val_2	5002095.0	3619876.0
D18_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4914961.0	3504036.0
D18_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4812952.0	3606045.0
D19_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4820724.0	3836158.0
D19_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4733265.0	3923617.0
D1_CKDL240007483-1A_225CVMLT4_L2_1_val_1	6154245.0	5819617.0
D1_CKDL240007483-1A_225CVMLT4_L2_2_val_2	5988242.0	5985620.0
D20_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4409602.0	2641137.0
D20_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4355111.0	2695628.0
D21_CKDL240007483-1A_225CVMLT4_L2_1_val_1	6046261.0	3798760.0
D21_CKDL240007483-1A_225CVMLT4_L2_2_val_2	5995147.0	3849874.0
D23_CKDL240007483-1A_225CVMLT4_L2_1_val_1	6212416.0	2909384.0
D23_CKDL240007483-1A_225CVMLT4_L2_2_val_2	6033317.0	3088483.0
D24_CKDL240007483-1A_225CVMLT4_L2_1_val_1	6747222.0	3534005.0
D24_CKDL240007483-1A_225CVMLT4_L2_2_val_2	6615749.0	3665478.0
D2_CKDL240007483-1A_225CVMLT4_L2_1_val_1	3977867.0	3226269.0
D2_CKDL240007483-1A_225CVMLT4_L2_2_val_2	3946582.0	3257554.0
D3_CKDL240007483-1A_225CVMLT4_L2_1_val_1	5394795.0	4826369.0
D3_CKDL240007483-1A_225CVMLT4_L2_2_val_2	5306927.0	4914237.0
D4_CKDL240007483-1A_225CVMLT4_L2_1_val_1	5297058.0	4996368.0
D4_CKDL240007483-1A_225CVMLT4_L2_2_val_2	5079961.0	5213465.0
D5_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4756341.0	6258882.0
D5_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4692596.0	6322627.0
D6_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4129207.0	5357292.0
