Sample	Unassigned_Read_Type	Unassigned_Duplicate	Unassigned_Singleton	Unassigned_NoFeatures	Assigned	Unassigned_Unmapped	percent_assigned	Unassigned_Ambiguity	Total	Unassigned_NonSplit	Unassigned_Overlapping_Length	Unassigned_MappingQuality	Unassigned_FragmentLength	Unassigned_MultiMapping	Unassigned_Chimera	Unassigned_Secondary
C9_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	6522297	20673966	0	75.46762884583838	198219	27394482	0	0	0	0	0	0	0
D10_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	3115215	9877659	0	75.46324634260306	96490	13089364	0	0	0	0	0	0	0
D11_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	4806940	13346907	0	73.10451921297866	103447	18257294	0	0	0	0	0	0	0
D12_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	2658027	8091002	0	74.70594524741595	81437	10830466	0	0	0	0	0	0	0
D13_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	6878861	8724418	0	55.762251480306915	42463	15645742	0	0	0	0	0	0	0
D14_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	6316488	12662169	0	66.49970886414793	62282	19040939	0	0	0	0	0	0	0
D15_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	5575717	9492276	0	62.778274533872306	52327	15120320	0	0	0	0	0	0	0
D16_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	4118091	10278585	0	71.1647035405506	46699	14443375	0	0	0	0	0	0	0
D17_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	2580393	12337598	0	82.32862952264188	67802	14985793	0	0	0	0	0	0	0
D18_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	3608568	18480838	0	83.35081982503165	82947	22172353	0	0	0	0	0	0	0
D19_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	3782620	10964052	0	74.0225944728798	65092	14811764	0	0	0	0	0	0	0
D1_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	3128723	12538249	0	79.63756038754737	77168	15744140	0	0	0	0	0	0	0
D20_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	1814793	8085572	0	81.34798103765316	39122	9939487	0	0	0	0	0	0	0
D21_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	6500022	13287328	0	66.90325676430263	73160	19860510	0	0	0	0	0	0	0
D23_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	6285452	13365676	0	67.75986813121297	73934	19725062	0	0	0	0	0	0	0
D24_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	6283351	11324445	0	64.07146867716287	66912	17674708	0	0	0	0	0	0	0
D2_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	2934633	11209124	0	78.91160217221687	60902	14204659	0	0	0	0	0	0	0
D3_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	1740037	3329227	0	65.36270194009344	24202	5093466	0	0	0	0	0	0	0
D4_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	3619378	11528289	0	75.78725090282717	63716	15211383	0	0	0	0	0	0	0
D5_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	3026242	8402603	0	73.37563700231472	22644	11451489	0	0	0	0	0	0	0
D6_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	2254910	10357634	0	81.96875359090907	23532	12636076	0	0	0	0	0	0	0
D7_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	2659543	10313022	0	79.3515210252998	24063	12996628	0	0	0	0	0	0	0
D8_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	2545928	8403714	0	76.54430243351581	29247	10978889	0	0	0	0	0	0	0
D9_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	3777866	11532150	0	74.7316528952987	121397	15431413	0	0	0	0	0	0	0
E10_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	3672793	14566358	0	79.39985736067537	106421	18345572	0	0	0	0	0	0	0
E11_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	4655260	15809617	0	76.82001644794784	115198	20580075	0	0	0	0	0	0	0
E12_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	4230451	14463432	0	76.84140112069382	128564	18822447	0	0	0	0	0	0	0
E13_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	5596971	7425048	0	56.868507075392216	34501	13056520	0	0	0	0	0	0	0
E14_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	4088628	10223826	0	71.1830717870242	50267	14362721	0	0	0	0	0	0	0
E15_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	4861698	11429595	0	69.9067760415179	58474	16349767	0	0	0	0	0	0	0
E16_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	4985882	9780681	0	66.00680430129239	51123	14817686	0	0	0	0	0	0	0
E17_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	2625928	13646765	0	83.51233586012425	68324	16341017	0	0	0	0	0	0	0
E18_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	2625590	10761295	0	80.08297115529301	50797	13437682	0	0	0	0	0	0	0
E19_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	3152451	13698958	0	80.96521422542902	68151	16919560	0	0	0	0	0	0	0
E1_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	2775347	7801928	0	73.39999793025524	52055	10629330	0	0	0	0	0	0	0
E20_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	2380112	9050479	0	78.84611464297842	48071	11478662	0	0	0	0	0	0	0
E21_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	7930671	12372344	0	60.72437373350231	71578	20374593	0	0	0	0	0	0	0
E22_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	5505569	11245497	0	66.87100917540302	65634	16816700	0	0	0	0	0	0	0
