Sample	Unassigned_Duplicate	Unassigned_Read_Type	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_FragmentLength	Assigned	Unassigned_NonSplit	Unassigned_MappingQuality	Unassigned_Singleton	Unassigned_Chimera	Unassigned_Unmapped	Unassigned_NoFeatures	Unassigned_Overlapping_Length	percent_assigned	Total	Unassigned_Ambiguity
C2_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	11496760	0	0	0	0	0	2043323	0	84.60004872864378	13589543	49460
C3_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	11648174	0	0	0	0	0	1964131	0	85.27497804648691	13659545	47240
C4_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	10149605	0	0	0	0	0	1796704	0	84.67954012631509	11985900	39591
C5_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	16090524	0	0	0	0	0	2340943	0	86.97843356456015	18499441	67974
C6_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	12388745	0	0	0	0	0	1390124	0	89.55182181965039	13834163	55294
C7_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	15511611	0	0	0	0	0	2492591	0	85.84837221050823	18068614	64412
C8_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	14618578	0	0	0	0	0	1871653	0	88.33169251224241	16549641	59410
C9_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	16130448	0	0	0	0	0	3874276	0	80.25720999952185	20098441	93717
D10_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	12917327	0	0	0	0	0	3065549	0	80.42598104978495	16061137	78261
D11_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	13770143	0	0	0	0	0	4373968	0	75.51384940874148	18235255	91144
D12_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	10656415	0	0	0	0	0	2771492	0	78.9639160961037	13495297	67390
D13_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	12714521	0	0	0	0	0	2680396	0	82.19131795559768	15469421	74504
D14_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	12130654	0	0	0	0	0	4017017	0	74.79255587220621	16219066	71395
D15_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	10059740	0	0	0	0	0	2486616	0	79.81759225200287	12603412	57056
D16_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	11322675	0	0	0	0	0	2676312	0	80.30046127815224	14100386	101399
D17_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	10667867	0	0	0	0	0	3765257	0	73.44818464778857	14524344	91220
D18_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	10217253	0	0	0	0	0	3180692	0	75.87702745273826	13465542	67597
D19_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	8465839	0	0	0	0	0	4626378	0	64.18654666551524	13189429	97212
D1_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	17741151	0	0	0	0	0	3116123	0	84.76704979301508	20929301	72027
D20_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	9010139	0	0	0	0	0	2641571	0	76.8073444078552	11730830	79120
D21_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	13497084	0	0	0	0	0	2775896	0	82.56485448226127	16347251	74271
D23_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	12522908	0	0	0	0	0	2347254	0	83.75099121895538	14952549	82387
D24_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	14103344	0	0	0	0	0	2558251	0	84.16092240460324	16757592	95997
D2_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	10586813	0	0	0	0	0	2023111	0	83.65903933830197	12654715	44791
D3_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	15110745	0	0	0	0	0	2889815	0	83.65929414192911	18062243	61683
