Sample	Unique Reads	Duplicate Reads
F24_ME_1_val_1	11524577.0	7555578.0
F24_ME_2_val_2	11156422.0	7923733.0
F2_ME_1_val_1	8210859.0	8043447.0
F2_ME_2_val_2	7976642.0	8277664.0
F3_ME_1_val_1	9189169.0	9285314.0
F3_ME_2_val_2	8874994.0	9599489.0
F5_ME_1_val_1	4745973.0	10071072.0
F5_ME_2_val_2	4606478.0	10210567.0
F6_ME_1_val_1	6207823.0	10610499.0
F6_ME_2_val_2	6007139.0	10811183.0
F7_ME_1_val_1	5385570.0	13122676.0
F7_ME_2_val_2	5214654.0	13293592.0
F9_ME_1_val_1	9202901.0	7939051.0
F9_ME_2_val_2	8844036.0	8297916.0
G10_ME_1_val_1	10799482.0	7706000.0
G10_ME_2_val_2	10664515.0	7840967.0
G11_ME_1_val_1	10439488.0	8330841.0
G11_ME_2_val_2	10070733.0	8699596.0
G13_ME_1_val_1	7467849.0	8323977.0
G13_ME_2_val_2	7265552.0	8526274.0
G14_ME_1_val_1	8630151.0	9870973.0
G14_ME_2_val_2	8334485.0	10166639.0
G15_ME_1_val_1	8112254.0	7860024.0
G15_ME_2_val_2	7934917.0	8037361.0
G16_ME_1_val_1	8910342.0	9175453.0
G16_ME_2_val_2	8825082.0	9260713.0
G17_ME_1_val_1	13133509.0	9863119.0
G17_ME_2_val_2	12523142.0	10473486.0
G18_ME_1_val_1	8285600.0	6632323.0
G18_ME_2_val_2	8070701.0	6847222.0
G19_ME_1_val_1	10838413.0	7414796.0
G19_ME_2_val_2	10469439.0	7783770.0
G1_ME_1_val_1	5288212.0	3930836.0
G1_ME_2_val_2	5216260.0	4002788.0
G20_ME_1_val_1	9980480.0	6846888.0
G20_ME_2_val_2	9834819.0	6992549.0
G21_ME_1_val_1	14079761.0	9606870.0
G21_ME_2_val_2	13931295.0	9755336.0
G22_ME_1_val_1	11033637.0	6773548.0
G22_ME_2_val_2	10723544.0	7083641.0
G23_ME_1_val_1	15050820.0	9816186.0
G23_ME_2_val_2	14197140.0	10669866.0
G24_ME_1_val_1	9218727.0	5029314.0
G24_ME_2_val_2	9109276.0	5138765.0
G2_ME_1_val_1	8786359.0	6295666.0
G2_ME_2_val_2	8554538.0	6527487.0
G3_ME_1_val_1	5438290.0	4623908.0
G3_ME_2_val_2	5328262.0	4733936.0
G5_ME_1_val_1	9920535.0	9360634.0
G5_ME_2_val_2	9614249.0	9666920.0
G6_ME_1_val_1	6172161.0	11675558.0
G6_ME_2_val_2	5989055.0	11858664.0
G7_ME_1_val_1	4503159.0	16361607.0
G7_ME_2_val_2	4547075.0	16317691.0
G9_ME_1_val_1	10990925.0	8777478.0
G9_ME_2_val_2	10736785.0	9031618.0
H10_ME_1_val_1	9351525.0	6605094.0
H10_ME_2_val_2	9227081.0	6729538.0
H11_ME_1_val_1	10036696.0	8154819.0
H11_ME_2_val_2	9867848.0	8323667.0
H13_ME_1_val_1	7879079.0	8072513.0
H13_ME_2_val_2	7640207.0	8311385.0
H14_ME_1_val_1	7218009.0	9055257.0
H14_ME_2_val_2	7041610.0	9231656.0
H15_ME_1_val_1	8338368.0	7418847.0
H15_ME_2_val_2	8181000.0	7576215.0
H17_ME_1_val_1	10008703.0	8827017.0
H17_ME_2_val_2	9816781.0	9018939.0
H18_ME_1_val_1	10743356.0	8889675.0
H18_ME_2_val_2	10568105.0	9064926.0
H19_ME_1_val_1	10880218.0	7877484.0
H19_ME_2_val_2	10697877.0	8059825.0
H1_ME_1_val_1	6799878.0	12364159.0
H1_ME_2_val_2	6583263.0	12580774.0
H21_ME_1_val_1	13232615.0	8656335.0
H21_ME_2_val_2	12977174.0	8911776.0
H22_ME_1_val_1	10991733.0	6641842.0
H22_ME_2_val_2	10809051.0	6824524.0
H23_ME_1_val_1	10108726.0	7215875.0
H23_ME_2_val_2	9958320.0	7366281.0
H2_ME_1_val_1	10697841.0	10748527.0
H2_ME_2_val_2	10332822.0	11113546.0
H3_ME_1_val_1	9655314.0	10516467.0
H3_ME_2_val_2	9478892.0	10692889.0
H5_ME_1_val_1	5743029.0	11319207.0
H5_ME_2_val_2	5589709.0	11472527.0
H6_ME_1_val_1	5683557.0	10605556.0
H6_ME_2_val_2	5487652.0	10801461.0
H7_ME_1_val_1	7469681.0	8782385.0
H7_ME_2_val_2	7325192.0	8926874.0
H9_ME_1_val_1	10342548.0	9020168.0
H9_ME_2_val_2	9585326.0	9777390.0
I10_ME_1_val_1	9354036.0	7533058.0
I10_ME_2_val_2	9165204.0	7721890.0
I11_ME_1_val_1	11713574.0	10253169.0
I11_ME_2_val_2	11452676.0	10514067.0
I12_ME_1_val_1	6384093.0	7271114.0
I12_ME_2_val_2	6193663.0	7461544.0
I13_ME_1_val_1	9299458.0	10564020.0
I13_ME_2_val_2	9069492.0	10793986.0
I14_ME_1_val_1	9392360.0	12192158.0
I14_ME_2_val_2	9110097.0	12474421.0
I15_ME_1_val_1	8130699.0	8611438.0
I15_ME_2_val_2	7943694.0	8798443.0
I16_ME_1_val_1	6981697.0	6798100.0
I16_ME_2_val_2	6800570.0	6979227.0
I17_ME_1_val_1	10212344.0	7042775.0
I17_ME_2_val_2	10034000.0	7221119.0
I18_ME_1_val_1	10326477.0	7876293.0
I18_ME_2_val_2	10080827.0	8121943.0
