Sample	Duplicate Reads	Unique Reads
C17_CKDL240007483-1A_22553JLT4_L7_2_val_2	3821697.0	4662231.0
C18_CKDL240007483-1A_22553JLT4_L7_1_val_1	4717292.0	6452028.0
C18_CKDL240007483-1A_22553JLT4_L7_2_val_2	4889119.0	6280201.0
C19_CKDL240007483-1A_22553JLT4_L7_1_val_1	5460222.0	5233140.0
C19_CKDL240007483-1A_22553JLT4_L7_2_val_2	5646702.0	5046660.0
C1_CKDL240007483-1A_22553JLT4_L7_1_val_1	7581502.0	7407957.0
C1_CKDL240007483-1A_22553JLT4_L7_2_val_2	7806724.0	7182735.0
C20_CKDL240007483-1A_22553JLT4_L7_1_val_1	3914015.0	3581350.0
C20_CKDL240007483-1A_22553JLT4_L7_2_val_2	4039913.0	3455452.0
C21_CKDL240007483-1A_22553JLT4_L7_1_val_1	2367442.0	5368226.0
C21_CKDL240007483-1A_22553JLT4_L7_2_val_2	2474337.0	5261331.0
C23_CKDL240007483-1A_22553JLT4_L7_1_val_1	3947997.0	5759592.0
C23_CKDL240007483-1A_22553JLT4_L7_2_val_2	4059326.0	5648263.0
C24_CKDL240007483-1A_22553JLT4_L7_1_val_1	3027478.0	6169860.0
C24_CKDL240007483-1A_22553JLT4_L7_2_val_2	3158957.0	6038381.0
C2_CKDL240007483-1A_22553JLT4_L7_1_val_1	3646961.0	4603191.0
C2_CKDL240007483-1A_22553JLT4_L7_2_val_2	3766868.0	4483284.0
C3_CKDL240007483-1A_22553JLT4_L7_1_val_1	3573508.0	4293254.0
C3_CKDL240007483-1A_22553JLT4_L7_2_val_2	3663147.0	4203615.0
C4_CKDL240007483-1A_22553JLT4_L7_1_val_1	3198751.0	3811804.0
C4_CKDL240007483-1A_22553JLT4_L7_2_val_2	3304981.0	3705574.0
C5_CKDL240007483-1A_22553JLT4_L7_1_val_1	6669359.0	4491315.0
C5_CKDL240007483-1A_22553JLT4_L7_2_val_2	6830775.0	4329899.0
C6_CKDL240007483-1A_22553JLT4_L7_1_val_1	5118284.0	3490934.0
C6_CKDL240007483-1A_22553JLT4_L7_2_val_2	5266035.0	3343183.0
C7_CKDL240007483-1A_22553JLT4_L7_1_val_1	6251923.0	4712382.0
C7_CKDL240007483-1A_22553JLT4_L7_2_val_2	6402478.0	4561827.0
C8_CKDL240007483-1A_22553JLT4_L7_1_val_1	5660869.0	4304697.0
C8_CKDL240007483-1A_22553JLT4_L7_2_val_2	5835444.0	4130122.0
C9_CKDL240007483-1A_22553JLT4_L7_1_val_1	5460282.0	6782541.0
C9_CKDL240007483-1A_22553JLT4_L7_2_val_2	5638156.0	6604667.0
D10_CKDL240007483-1A_22553JLT4_L7_1_val_1	3810967.0	5613770.0
D10_CKDL240007483-1A_22553JLT4_L7_2_val_2	3939222.0	5485515.0
D11_CKDL240007483-1A_22553JLT4_L7_1_val_1	4554891.0	6628028.0
D11_CKDL240007483-1A_22553JLT4_L7_2_val_2	4733957.0	6448962.0
D12_CKDL240007483-1A_22553JLT4_L7_1_val_1	3111474.0	4842356.0
D12_CKDL240007483-1A_22553JLT4_L7_2_val_2	3219438.0	4734392.0
D13_CKDL240007483-1A_22553JLT4_L7_1_val_1	5577409.0	3745564.0
D13_CKDL240007483-1A_22553JLT4_L7_2_val_2	5706892.0	3616081.0
D14_CKDL240007483-1A_22553JLT4_L7_1_val_1	6015576.0	4310978.0
D14_CKDL240007483-1A_22553JLT4_L7_2_val_2	6203217.0	4123337.0
D15_CKDL240007483-1A_22553JLT4_L7_1_val_1	4794600.0	3114601.0
D15_CKDL240007483-1A_22553JLT4_L7_2_val_2	4931686.0	2977515.0
D16_CKDL240007483-1A_22553JLT4_L7_1_val_1	4470771.0	3980078.0
D16_CKDL240007483-1A_22553JLT4_L7_2_val_2	4601977.0	3848872.0
D17_CKDL240007483-1A_22553JLT4_L7_1_val_1	3688917.0	5131143.0
D17_CKDL240007483-1A_22553JLT4_L7_2_val_2	3825014.0	4995046.0
D18_CKDL240007483-1A_22553JLT4_L7_1_val_1	3756847.0	5034645.0
D18_CKDL240007483-1A_22553JLT4_L7_2_val_2	3916629.0	4874863.0
D19_CKDL240007483-1A_22553JLT4_L7_1_val_1	3925904.0	4861837.0
D19_CKDL240007483-1A_22553JLT4_L7_2_val_2	4081504.0	4706237.0
D1_CKDL240007483-1A_22553JLT4_L7_1_val_1	6235140.0	6268808.0
D1_CKDL240007483-1A_22553JLT4_L7_2_val_2	6447527.0	6056421.0
D20_CKDL240007483-1A_22553JLT4_L7_1_val_1	2737272.0	4424729.0
D20_CKDL240007483-1A_22553JLT4_L7_2_val_2	2841816.0	4320185.0
D21_CKDL240007483-1A_22553JLT4_L7_1_val_1	3937889.0	6112642.0
D21_CKDL240007483-1A_22553JLT4_L7_2_val_2	4046917.0	6003614.0
D23_CKDL240007483-1A_22553JLT4_L7_1_val_1	3187770.0	6453964.0
D23_CKDL240007483-1A_22553JLT4_L7_2_val_2	3355002.0	6286732.0
D24_CKDL240007483-1A_22553JLT4_L7_1_val_1	3654094.0	6806154.0
D24_CKDL240007483-1A_22553JLT4_L7_2_val_2	3821174.0	6639074.0
D2_CKDL240007483-1A_22553JLT4_L7_1_val_1	3332136.0	3982819.0
D2_CKDL240007483-1A_22553JLT4_L7_2_val_2	3426140.0	3888815.0
D3_CKDL240007483-1A_22553JLT4_L7_1_val_1	4968967.0	5410630.0
D3_CKDL240007483-1A_22553JLT4_L7_2_val_2	5119221.0	5260376.0
D4_CKDL240007483-1A_22553JLT4_L7_1_val_1	5403597.0	5387946.0
D4_CKDL240007483-1A_22553JLT4_L7_2_val_2	5636038.0	5155505.0
D5_CKDL240007483-1A_22553JLT4_L7_1_val_1	6627772.0	4785902.0
D5_CKDL240007483-1A_22553JLT4_L7_2_val_2	6740341.0	4673333.0
D6_CKDL240007483-1A_22553JLT4_L7_1_val_1	5590959.0	4138157.0
D6_CKDL240007483-1A_22553JLT4_L7_2_val_2	5770054.0	3959062.0
D7_CKDL240007483-1A_22553JLT4_L7_1_val_1	6208648.0	3531709.0
D7_CKDL240007483-1A_22553JLT4_L7_2_val_2	6344172.0	3396185.0
D8_CKDL240007483-1A_22553JLT4_L7_1_val_1	3553887.0	3253391.0
D8_CKDL240007483-1A_22553JLT4_L7_2_val_2	3669754.0	3137524.0
D9_CKDL240007483-1A_22553JLT4_L7_1_val_1	5737177.0	7157989.0
D9_CKDL240007483-1A_22553JLT4_L7_2_val_2	5934717.0	6960449.0
E10_CKDL240007483-1A_22553JLT4_L7_1_val_1	4634340.0	6964855.0
E10_CKDL240007483-1A_22553JLT4_L7_2_val_2	4801699.0	6797496.0
E11_CKDL240007483-1A_22553JLT4_L7_1_val_1	3474346.0	5485105.0
E11_CKDL240007483-1A_22553JLT4_L7_2_val_2	3671008.0	5288443.0
E12_CKDL240007483-1A_22553JLT4_L7_1_val_1	4914139.0	6850860.0
E12_CKDL240007483-1A_22553JLT4_L7_2_val_2	5033345.0	6731654.0
E13_CKDL240007483-1A_22553JLT4_L7_1_val_1	6452182.0	3687080.0
E13_CKDL240007483-1A_22553JLT4_L7_2_val_2	6611907.0	3527355.0
E14_CKDL240007483-1A_22553JLT4_L7_1_val_1	6104938.0	4198216.0
E14_CKDL240007483-1A_22553JLT4_L7_2_val_2	6276951.0	4026203.0
E15_CKDL240007483-1A_22553JLT4_L7_1_val_1	5111277.0	3684530.0
E15_CKDL240007483-1A_22553JLT4_L7_2_val_2	5269955.0	3525852.0
E16_CKDL240007483-1A_22553JLT4_L7_1_val_1	5513546.0	3417268.0
E16_CKDL240007483-1A_22553JLT4_L7_2_val_2	5624049.0	3306765.0
E17_CKDL240007483-1A_22553JLT4_L7_1_val_1	4096572.0	5034155.0
E17_CKDL240007483-1A_22553JLT4_L7_2_val_2	4259017.0	4871710.0
E18_CKDL240007483-1A_22553JLT4_L7_1_val_1	4402502.0	5977003.0
E18_CKDL240007483-1A_22553JLT4_L7_2_val_2	4544032.0	5835473.0
E19_CKDL240007483-1A_22553JLT4_L7_1_val_1	3990834.0	4960232.0
E19_CKDL240007483-1A_22553JLT4_L7_2_val_2	4151156.0	4799910.0
E1_CKDL240007483-1A_22553JLT4_L7_1_val_1	5590972.0	5269810.0
E1_CKDL240007483-1A_22553JLT4_L7_2_val_2	5753715.0	5107067.0
E20_CKDL240007483-1A_22553JLT4_L7_1_val_1	2668161.0	4399790.0
E20_CKDL240007483-1A_22553JLT4_L7_2_val_2	2782844.0	4285107.0
E21_CKDL240007483-1A_22553JLT4_L7_1_val_1	3757847.0	6659378.0
E21_CKDL240007483-1A_22553JLT4_L7_2_val_2	3890093.0	6527132.0
E23_CKDL240007483-1A_22553JLT4_L7_1_val_1	5707307.0	9559102.0
E23_CKDL240007483-1A_22553JLT4_L7_2_val_2	5930041.0	9336368.0
E24_CKDL240007483-1A_22553JLT4_L7_1_val_1	2247364.0	4754985.0
