,animalID,sex,cohort,age_days,harvest_date,hatch_date,tissue,tissue_grind_date,RNA_extract_date,RNA_batch,RNA_extractor,RNAID,cDNA_batch,plate_well,sampleName,lib,censored,censor_code,notes
C18_2,P_1A_8,F,1A,75,11/22/21,9/8/21,Spleen,NA,3/6/23,1,JC,RNA315,2,C18,C18,C18_2,,,
C19_2,J9,F,2,155,8/16/22,3/14/22,Spleen,NA,3/6/23,1,JC,RNA331,2,C19,C19,C19_2,,,
C2_2,J_1B_12,M,1B,49,11/8/21,9/20/21,Bone,4/19/23,4/22/23,2,EC,RNA592,2,C2,C2,C2_2,,,
C20_2,J_1A_24,F,1A,47,10/25/21,9/8/21,Spleen,NA,3/6/23,2,EC,RNA347,2,C20,C20,C20_2,,,
C21_2,F05,M,2,102,6/24/22,3/14/22,Brain,NA,1/31/23,1,IG,R25,2,C21,C21,C21_2,,,
C22_2,P_1A_2,F,1A,103,12/20/21,9/8/21,Brain,NA,1/31/23,1,EC,R41,2,C22,C22,C22_2,,,
C23_2,J_1B_5,F,1B,49,11/8/21,9/20/21,Brain,NA,2/1/23,2,EC,R57,2,C23,C23,C23_2,,,
C24_2,P_1A_4,M,1A,133,1/19/22,9/8/21,Brain,NA,2/1/23,2,IG,R73,2,C24,C24,C24_2,,,
C3_2,J9,F,2,155,8/16/22,3/14/22,Bone,4/28/23,4/29/23,3,EC,RNA608,2,C3,C3,C3_2,,,
C4_2,P_1B_9,F,1B,49,11/8/21,9/20/21,Bone,4/28/23,4/29/23,3,EC,RNA624,2,C4,C4,C4_2,,,
C5_2,H_02,M,2,52,5/5/22,3/14/22,Fat,4/11/23,4/16/23,1,EC,RNA519,2,C5,C5,C5_2,,,
C6_2,J_1B_12,M,1B,49,11/8/21,9/20/21,Fat,4/12/23,4/17/23,2,EC,RNA535,2,C6,C6,C6_2,,,
C7_2,A17,M,2,78,5/31/22,3/14/22,Fat,4/12/23,4/17/23,2,EC,RNA551,2,C7,C7,C7_2,,,
C8_2,P_1A_1,F,1A,47,10/25/21,9/8/21,Fat,4/13/23,4/19/23,3,EC,RNA569,2,C8,C8,C8_2,,,
C9_2,E02,F,2,78,5/31/22,3/14/22,SpinalCord,NA,3/10/23,1,EC,RNA409,2,C9,C9,C9_2,,,
D1_2,I_03,M,2,162,8/23/22,3/14/22,Bone,4/19/23,4/22/23,1,EC,RNA575,2,D1,D1,D1_2,,,
D10_2,P_1B_4,F,1B,147,2/14/22,9/20/21,SpinalCord,NA,3/13/23,2,JC,RNA426,2,D10,D10,D10_2,,,
D11_2,J_04,M,2,162,8/23/22,3/14/22,SpinalCord,NA,3/13/23,2,JC,RNA442,2,D11,D11,D11_2,,,
D12_2,P_1B_3,F,1B,77,12/6/21,9/20/21,SpinalCord,NA,3/13/23,2,EC,RNA459,2,D12,D12,D12_2,,,
D13_2,A01,M,2,78,5/31/22,3/14/22,Heart,NA,3/3/23,1,EC,R190,2,D13,D13,D13_2,,,
D14_2,J-1B-18,F,1B,133,1/31/22,9/20/21,Heart,NA,3/3/23,1,JC,R206,2,D14,D14,D14_2,,,
D15_2,J_1A_13,M,1A,75,11/22/21,9/8/21,Heart,NA,3/3/23,1,JC,R222,2,D15,D15,D15_2,,,
D16_2,J_1A_24,F,1A,47,10/25/21,9/8/21,Heart,NA,3/3/23,2,EC,R238,2,D16,D16,D16_2,,,
D17_2,A06,F,2,102,6/24/22,3/14/22,Spleen,NA,3/6/23,1,EC,RNA300,2,D17,D17,D17_2,,,
D18_2,P_1A_4,M,1A,133,1/19/22,9/8/21,Spleen,NA,3/6/23,1,JC,RNA316,2,D18,D18,D18_2,,,
D19_2,D12,M,2,134,7/26/22,3/14/22,Spleen,NA,3/6/23,1,JC,RNA332,2,D19,D19,D19_2,,,
D2_2,P_1A_8,F,1A,75,11/22/21,9/8/21,Bone,4/26/23,4/22/23,2,EC,RNA593,2,D2,D2,D2_2,,,
D20_2,P_1B_9,F,1B,49,11/8/21,9/20/21,Spleen,NA,3/6/23,2,EC,RNA348,2,D20,D20,D20_2,,,
D21_2,E04,M,2,102,6/24/22,3/14/22,Brain,NA,1/31/23,1,IG,R26,2,D21,D21,D21_2,,,
D22_2,J_1B_12,M,1B,49,11/8/21,9/20/21,Brain,NA,1/31/23,1,EC,R42,2,D22,D22,D22_2,1,2,did not lib prep well
D23_2,P_1A_8,F,1A,75,11/22/21,9/8/21,Brain,NA,2/1/23,2,EC,R58,2,D23,D23,D23_2,,,
D24_2,J_1B_20,M,1B,77,12/6/21,9/20/21,Brain,NA,2/1/23,2,IG,R74,2,D24,D24,D24_2,,,
D3_2,J_1B_2,M,1B,49,11/8/21,9/20/21,Bone,4/28/23,4/29/23,3,EC,RNA609,2,D3,D3,D3_2,,,
D4_2,J_1A_14,M,1A,75,11/22/21,9/8/21,Bone,4/28/23,4/29/23,3,EC,RNA625,2,D4,D4,D4_2,,,
D5_2,A06,F,2,102,6/24/22,3/14/22,Fat,4/11/23,4/16/23,1,EC,RNA520,2,D5,D5,D5_2,,,
D6_2,P_1A_6,M,1A,133,1/19/22,9/8/21,Fat,4/12/23,4/17/23,2,EC,RNA536,2,D6,D6,D6_2,,,
D7_2,J05,F,2,102,6/24/22,3/14/22,Fat,4/12/23,4/17/23,2,EC,RNA552,2,D7,D7,D7_2,,,
D8_2,P_1B_4,F,1B,147,2/14/22,9/20/21,Fat,4/13/23,4/19/23,3,EC,RNA570,2,D8,D8,D8_2,,,
D9_2,D_14,F,2,52,5/5/22,3/14/22,SpinalCord,NA,3/10/23,1,EC,RNA410,2,D9,D9,D9_2,,,
E1_2,C_03,M,2,162,8/23/22,3/14/22,Bone,4/19/23,4/22/23,1,EC,RNA576,2,E1,E1,E1_2,,,
E10_2,P_1A_4,M,1A,133,1/19/22,9/8/21,SpinalCord,NA,3/13/23,2,JC,RNA427,2,E10,E10,E10_2,,,
E11_2,D_05,M,2,162,8/23/22,3/14/22,SpinalCord,NA,3/13/23,2,JC,RNA443,2,E11,E11,E11_2,,,
E12_2,J_1A_24,F,1A,47,10/25/21,9/8/21,SpinalCord,NA,3/13/23,2,EC,RNA460,2,E12,E12,E12_2,,,
E13_2,B01,M,2,134,7/26/22,3/14/22,Heart,NA,3/3/23,1,EC,R191,2,E13,E13,E13_2,,,
E14_2,P_1A_1,F,1A,47,10/25/21,9/8/21,Heart,NA,3/3/23,1,JC,R207,2,E14,E14,E14_2,,,
E15_2,E04,M,2,102,6/24/22,3/14/22,Heart,NA,3/3/23,2,EC,R223,2,E15,E15,E15_2,,,
