Sample	Unassigned_NoFeatures	Unassigned_Chimera	Unassigned_Ambiguity	Unassigned_Secondary	Unassigned_FragmentLength	Total	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_MultiMapping	Unassigned_NonSplit	Assigned	percent_assigned	Unassigned_Overlapping_Length	Unassigned_Duplicate	Unassigned_Singleton	Unassigned_MappingQuality
E13_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	3817583	0	66093	0	0	16666108	0	0	0	0	12782432	76.69716288890004	0	0	0	0
E14_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2845253	0	87837	0	0	17279582	0	0	0	0	14346492	83.02568893159568	0	0	0	0
E15_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	3953721	0	60692	0	0	14200008	0	0	0	0	10185595	71.72950184253418	0	0	0	0
E16_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2815815	0	64987	0	0	14765827	0	0	0	0	11885025	80.49007346489974	0	0	0	0
E17_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	4089981	0	113366	0	0	14252651	0	0	0	0	10049304	70.50831455846355	0	0	0	0
E18_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	3704495	0	101769	0	0	17359634	0	0	0	0	13553370	78.07405386542136	0	0	0	0
E19_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	4314177	0	108921	0	0	13720437	0	0	0	0	9297339	67.76270318503703	0	0	0	0
E1_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	3200095	0	68916	0	0	18982812	0	0	0	0	15713801	82.77910037775226	0	0	0	0
E20_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2293471	0	73893	0	0	12172682	0	0	0	0	9805318	80.55182908745994	0	0	0	0
E21_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2738752	0	94528	0	0	16700940	0	0	0	0	13867660	83.03520640155584	0	0	0	0
E23_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	3726284	0	141098	0	0	25631492	0	0	0	0	21764110	84.91160015187566	0	0	0	0
E24_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	1712728	0	63584	0	0	11338378	0	0	0	0	9562066	84.33363220030236	0	0	0	0
E2_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2121362	0	46995	0	0	13253662	0	0	0	0	11085305	83.63956316375052	0	0	0	0
E3_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2561766	0	57567	0	0	17803376	0	0	0	0	15184043	85.28743649519058	0	0	0	0
E4_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	3423123	0	68382	0	0	20562387	0	0	0	0	17070882	83.0199431612682	0	0	0	0
E5_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2473952	0	76574	0	0	18105732	0	0	0	0	15555206	85.91315722556813	0	0	0	0
E6_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	1564449	0	65642	0	0	16634400	0	0	0	0	15004309	90.20048213341029	0	0	0	0
E7_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2171410	0	50003	0	0	12303404	0	0	0	0	10081991	81.94472846701612	0	0	0	0
E8_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	1550985	0	60980	0	0	13516510	0	0	0	0	11904545	88.07410344830137	0	0	0	0
E9_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	3150647	0	69648	0	0	13375513	0	0	0	0	10155218	75.9239514775994	0	0	0	0
F10_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	3361144	0	77548	0	0	16547931	0	0	0	0	13109239	79.21980699581114	0	0	0	0
F11_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2673358	0	62657	0	0	12368933	0	0	0	0	9632918	77.87994324166846	0	0	0	0
F12_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2524281	0	58594	0	0	12586541	0	0	0	0	10003666	79.47907212950722	0	0	0	0
